ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before
11,Delray Beach,Delray Beach Open,2020-02-21,ATP250,Outdoor,Hard,Quarterfinals,3,Opelka R.,Kwon S.W.,54.0,82.0,947.0,702.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.61,2.3,1.67,2.38,1.69,2.38,1.63,2.26,126952,124187,Delray Beach_2020_124187_126952,3.0,7.0,2.0,2.0
12,Marseille,Open 13,2020-02-21,ATP250,Indoor,Hard,Quarterfinals,3,Bublik A.,Shapovalov D.,55.0,15.0,930.0,2075.0,7.0,5.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.75,1.44,3.36,1.38,3.36,1.45,2.91,1.4,133430,122330,Marseille_2020_122330_133430,3.0,5.0,1.0,4.0
12,Marseille,Open 13,2020-02-21,ATP250,Indoor,Hard,Quarterfinals,3,Tsitsipas S.,Pospisil V.,6.0,98.0,4745.0,597.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.47,2.94,1.47,2.95,1.43,2.78,105577,126774,Marseille_2020_126774_105577,2.0,8.0,4.0,9.0
12,Marseille,Open 13,2020-02-21,ATP250,Indoor,Hard,Quarterfinals,3,Simon G.,Medvedev D.,58.0,5.0,890.0,5890.0,6.0,4.0,6.0,0.0,,,,,,,2.0,0.0,Completed,4.5,1.2,5.25,1.21,5.41,1.22,4.66,1.19,106421,104468,Marseille_2020_104468_106421,4.0,6.0,1.0,4.0
12,Marseille,Open 13,2020-02-21,ATP250,Indoor,Hard,Quarterfinals,3,Auger-Aliassime F.,Gerasimov E.,18.0,72.0,1921.0,764.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.62,2.5,1.62,2.6,1.54,2.47,106078,200000,Marseille_2020_200000_106078,2.0,9.0,4.0,7.0
13,Rio de Janeiro,Rio Open,2020-02-21,ATP500,Outdoor,Clay,Quarterfinals,3,Garin C.,Coria F.,25.0,116.0,1550.0,466.0,2.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,1.2,4.5,1.19,5.62,1.21,5.62,1.18,4.89,105948,106426,Rio de Janeiro_2020_106426_105948,3.0,6.0,2.0,-1.0
11,Delray Beach,Delray Beach Open,2020-02-22,ATP250,Outdoor,Hard,Quarterfinals,3,Raonic M.,Johnson S.,37.0,76.0,1260.0,745.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.32,3.79,1.33,3.8,1.29,3.55,105449,105683,Delray Beach_2020_105683_105449,4.0,13.0,3.0,8.0
13,Rio de Janeiro,Rio Open,2020-02-22,ATP500,Outdoor,Clay,Quarterfinals,3,Coric B.,Sonego L.,32.0,52.0,1320.0,960.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.1,1.71,2.29,1.72,2.3,1.67,2.18,132283,106432,Rio de Janeiro_2020_106432_132283,3.0,2.0,3.0,7.0
13,Rio de Janeiro,Rio Open,2020-02-22,ATP500,Outdoor,Clay,Quarterfinals,3,Balazs A.,Martinez P.,106.0,133.0,525.0,404.0,2.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,2.3,1.61,2.29,1.72,2.38,1.72,2.27,1.63,124079,105226,Rio de Janeiro_2020_105226_124079,3.0,7.0,3.0,10.0
13,Rio de Janeiro,Rio Open,2020-02-22,ATP500,Outdoor,Clay,Quarterfinals,3,Mager G.,Thiem D.,128.0,4.0,413.0,7045.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,6.5,1.11,7.03,1.14,7.03,1.14,6.51,1.11,106233,126149,Rio de Janeiro_2020_126149_106233,4.0,7.0,2.0,11.0
11,Delray Beach,Delray Beach Open,2020-02-22,ATP250,Outdoor,Hard,Semifinals,3,Nishioka Y.,Humbert U.,63.0,44.0,862.0,1086.0,1.0,6.0,6.0,4.0,6.0,0.0,,,,,2.0,1.0,Completed,2.37,1.57,2.49,1.62,2.5,1.66,2.35,1.58,200005,106415,Delray Beach_2020_106415_200005,4.0,12.0,5.0,19.0
12,Marseille,Open 13,2020-02-22,ATP250,Indoor,Hard,Semifinals,3,Tsitsipas S.,Bublik A.,6.0,55.0,4745.0,930.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.22,4.33,1.22,5.01,1.25,5.13,1.21,4.31,122330,126774,Marseille_2020_126774_122330,4.0,13.0,4.0,8.0
12,Marseille,Open 13,2020-02-22,ATP250,Indoor,Hard,Semifinals,3,Auger-Aliassime F.,Simon G.,18.0,58.0,1921.0,890.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.37,1.69,2.33,1.69,2.55,1.58,2.36,104468,200000,Marseille_2020_200000_104468,4.0,15.0,6.0,14.0
11,Delray Beach,Delray Beach Open,2020-02-23,ATP250,Outdoor,Hard,Semifinals,3,Opelka R.,Raonic M.,54.0,37.0,947.0,1260.0,4.0,6.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,2.75,1.44,2.87,1.49,2.89,1.5,2.71,1.45,105683,124187,Delray Beach_2020_124187_105683,5.0,12.0,6.0,17.0
