match_id,elo_winner,elo_loser,surface_elo_winner,surface_elo_loser,blended_elo_winner,blended_elo_loser
London_2023_207518_144719,1918.6323438139318,1698.0851514416,1655.3135700619223,1579.3048871850065,1865.96858906353,1674.3290985902813
London_2023_200282_106293,1935.9983324550526,1521.924529146708,1863.658769509604,1600.0,1921.530419865963,1537.5396233173665
London_2023_111797_106065,1914.8001851599893,1733.282746151015,1707.7957719842466,1517.8910148447958,1873.399302524841,1690.2043998897714
London_2023_128034_123828,1926.6246800485712,1612.770967945774,1884.306908527682,1575.7588201203214,1918.1611257443935,1605.3685383806835
London_2023_200221_209950,1855.1620462220349,1866.8381059442934,1571.1398940590536,1581.3801906580195,1798.3576157894388,1809.7465228870387
London_2023_122330_200670,1880.9890495551801,1798.6912274358597,1988.3676652189479,1640.19488864025,1923.9404958206871,1766.991959676738
London_2023_123755_106214,1637.139772541712,1682.010785482662,1679.9307658269568,1745.2240684157298,1645.6979711987613,1694.6534420692756
London_2023_133430_106296,1863.9285190658243,1810.7394590205188,1795.4050083014379,1697.9657451117787,1850.2238169129473,1788.1847162387708
London_2023_126094_106234,2038.6174702393173,1775.191913141334,1977.395060509464,1640.881662622893,2026.3729882933467,1748.329863037646
London_2023_106281_134770,1683.6434217296624,1999.7501883920227,1645.8046476604322,1678.7191406122436,1676.0756669158163,1935.543978836067
London_2023_126205_105683,1907.1947646716553,1928.9028995469641,1753.712713493904,1916.5818481892854,1876.4983544361053,1926.4386892754285
London_2023_105777_125802,1952.6260660431758,1772.1155191435769,1796.0744338962108,1692.3010235184215,1921.315739613783,1756.1526200185458
London_2023_126128_144895,1758.201890820664,1761.0019508884848,1647.256530244415,1685.5900514961415,1736.0128187054142,1745.9195710100162
London_2023_105550_208004,1708.1442180946685,1536.6484768279404,1786.9005164868258,1558.2816412645404,1723.8954777731,1540.9751097152607
London_2023_144707_126203,1765.439581311337,1957.846595767725,1645.4925971380896,1850.9821034018369,1741.4501844766876,1936.4736972945475
London_2023_126207_208502,1972.6498971171407,1759.3567146444275,1888.0360105139052,1714.1741492166104,1955.7271197964935,1750.320201558864
London_2023_111513_210097,1802.9387049004285,1704.3360627935954,1722.0530790846651,1609.278451154834,1786.761579737276,1685.3245404658433
London_2023_105676_144642,1743.084670310745,1628.5524908599314,1926.5952806951082,1635.9429763639869,1779.7867923876179,1630.0305879607424
