tournament_location,tournament_name,Date,indoor_or_outdoor,Surface,Round,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before,tournament_id,draw_size,tournament_level,tournament_date,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Estoril,Millennium Estoril Open,2022-04-26,Outdoor,Clay,1st Round,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,126205,104755,Estoril_2022_104755_126205,0.0,0.0,0.0,0.0,2022-7290,32,A,2022-04-26,,,Richard Gasquet,R,185.0,FRA,35.8,7.0,,Tommy Paul,R,185.0,USA,24.9,3,94.0,1.0,2.0,71.0,45.0,31.0,14.0,10.0,5.0,6.0,1.0,5.0,63.0,37.0,23.0,10.0,10.0,4.0,8.0,80.0,786.0,34.0,1243.0
Estoril,Millennium Estoril Open,2022-04-26,Outdoor,Clay,1st Round,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,106210,106198,Estoril_2022_106198_106210,0.0,0.0,0.0,0.0,2022-7290,32,A,2022-04-26,,Q,Hugo Dellien,R,180.0,BOL,28.8,,,Jiri Vesely,L,198.0,CZE,28.7,3,80.0,2.0,2.0,56.0,43.0,30.0,7.0,9.0,0.0,1.0,3.0,8.0,63.0,42.0,26.0,6.0,9.0,6.0,10.0,85.0,758.0,74.0,847.0
Estoril,Millennium Estoril Open,2022-04-26,Outdoor,Clay,1st Round,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,105311,202104,Estoril_2022_202104_105311,0.0,0.0,0.0,0.0,2022-7290,32,A,2022-04-26,,,Sebastian Baez,R,170.0,ARG,21.3,,WC,Joao Sousa,R,185.0,POR,33.0,3,64.0,1.0,1.0,47.0,35.0,26.0,8.0,8.0,0.0,0.0,0.0,0.0,43.0,30.0,19.0,4.0,8.0,3.0,7.0,59.0,921.0,83.0,765.0
Estoril,Millennium Estoril Open,2022-04-26,Outdoor,Clay,1st Round,6.0,4.0,3.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,111442,105077,Estoril_2022_105077_111442,0.0,0.0,0.0,0.0,2022-7290,32,A,2022-04-26,6.0,,Albert Ramos,L,188.0,ESP,34.2,,,Jordan Thompson,R,183.0,AUS,28.0,3,130.0,4.0,1.0,81.0,45.0,29.0,25.0,14.0,4.0,7.0,9.0,1.0,84.0,48.0,34.0,21.0,15.0,5.0,9.0,31.0,1266.0,87.0,748.0
Estoril,Millennium Estoril Open,2022-04-26,Outdoor,Clay,1st Round,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,106233,126127,Estoril_2022_126127_106233,0.0,0.0,0.0,0.0,2022-7290,32,A,2022-04-26,,,Benjamin Bonzi,R,185.0,FRA,25.8,,WC,Dominic Thiem,R,185.0,AUT,28.6,3,106.0,5.0,0.0,68.0,38.0,30.0,21.0,11.0,0.0,0.0,4.0,3.0,79.0,58.0,42.0,9.0,10.0,3.0,4.0,58.0,921.0,93.0,725.0
Estoril,Millennium Estoril Open,2022-04-26,Outdoor,Clay,1st Round,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,105732,200624,Estoril_2022_200624_105732,0.0,0.0,0.0,0.0,2022-7290,32,A,2022-04-26,8.0,,Sebastian Korda,R,196.0,USA,21.8,,Q,Pierre Hugues Herbert,R,188.0,FRA,31.1,3,83.0,1.0,0.0,54.0,40.0,31.0,9.0,9.0,4.0,4.0,0.0,2.0,63.0,33.0,24.0,12.0,9.0,6.0,9.0,37.0,1215.0,157.0,387.0
Munich,BMW Open,2022-04-26,Outdoor,Clay,1st Round,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,105554,202195,Munich_2022_202195_105554,0.0,0.0,0.0,0.0,2022-0308,32,A,2022-04-26,,,Maxime Cressy,R,198.0,USA,24.9,6.0,,Daniel Evans,R,175.0,GBR,31.9,3,80.0,7.0,2.0,49.0,29.0,23.0,14.0,10.0,1.0,3.0,3.0,4.0,61.0,43.0,29.0,6.0,10.0,2.0,6.0,65.0,876.0,35.0,1242.0
Munich,BMW Open,2022-04-26,Outdoor,Clay,1st Round,6.0,4.0,3.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,111456,125802,Munich_2022_125802_111456,0.0,0.0,0.0,0.0,2022-0308,32,A,2022-04-26,,,Ilya Ivashka,R,193.0,BLR,28.1,,,Mackenzie Mcdonald,R,178.0,USA,27.0,3,149.0,2.0,4.0,90.0,53.0,30.0,20.0,14.0,7.0,12.0,2.0,4.0,110.0,72.0,44.0,14.0,14.0,7.0,13.0,44.0,1099.0,51.0,982.0
Munich,BMW Open,2022-04-26,Outdoor,Clay,1st Round,6.0,4.0,6.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,106218,200384,Munich_2022_200384_106218,0.0,0.0,0.0,0.0,2022-0308,32,A,2022-04-26,,,Hugo Gaston,L,173.0,FRA,21.5,,,Marcos Giron,R,180.0,USA,28.7,3,152.0,8.0,0.0,99.0,62.0,49.0,26.0,17.0,2.0,2.0,4.0,1.0,120.0,92.0,58.0,19.0,17.0,4.0,6.0,72.0,857.0,53.0,975.0
Munich,BMW Open,2022-04-26,Outdoor,Clay,1st Round,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,209916,106214,Munich_2022_106214_209916,0.0,0.0,0.0,0.0,2022-0308,32,A,2022-04-26,,,Oscar Otte,R,196.0,GER,28.7,,Q,Marko Topo,R,188.0,SRB,18.6,3,56.0,1.0,0.0,42.0,24.0,18.0,15.0,8.0,2.0,2.0,2.0,5.0,47.0,22.0,16.0,7.0,7.0,3.0,7.0,62.0,893.0,756.0,24.0
Munich,BMW Open,2022-04-27,Outdoor,Clay,1st Round,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,206909,122298,Munich_2022_122298_206909,0.0,0.0,0.0,0.0,2022-0308,32,A,2022-04-27,8.0,,Botic Van De Zandschulp,R,188.0,NED,26.5,,,Brandon Nakashima,R,185.0,USA,20.7,3,93.0,6.0,2.0,66.0,40.0,28.0,14.0,11.0,2.0,5.0,1.0,1.0,65.0,40.0,22.0,13.0,10.0,2.0,6.0,40.0,1161.0,76.0,810.0
Munich,BMW Open,2022-04-27,Outdoor,Clay,1st Round,4.0,6.0,6.0,2.0,6.0,2.0,,,,,2.0,1.0,Completed,105357,106078,Munich_2022_106078_105357,0.0,0.0,0.0,0.0,2022-0308,32,A,2022-04-27,,Q,Egor Gerasimov,R,196.0,BLR,29.4,,,John Millman,R,183.0,AUS,32.8,3,134.0,7.0,3.0,85.0,52.0,38.0,15.0,13.0,10.0,13.0,4.0,2.0,91.0,63.0,36.0,12.0,13.0,12.0,18.0,150.0,412.0,79.0,793.0
Munich,BMW Open,2022-04-27,Outdoor,Clay,1st Round,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,106426,126214,Munich_2022_126214_106426,0.0,0.0,0.0,0.0,2022-0308,32,A,2022-04-27,,LL,Alejandro Tabilo,L,188.0,CHI,24.8,5.0,,Cristian Garin,R,185.0,CHI,25.9,3,94.0,3.0,1.0,70.0,50.0,27.0,15.0,10.0,5.0,7.0,1.0,3.0,60.0,41.0,24.0,7.0,9.0,7.0,11.0,91.0,732.0,30.0,1338.0
Estoril,Millennium Estoril Open,2022-04-27,Outdoor,Clay,2nd Round,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,126523,200221,Estoril_2022_200221_126523,0.0,0.0,2.0,5.0,2022-7290,32,A,2022-04-27,4.0,,Alejandro Davidovich Fokina,R,183.0,ESP,22.8,,Q,Bernabe Zapata Miralles,R,185.0,ESP,25.2,3,116.0,2.0,5.0,78.0,56.0,28.0,12.0,10.0,0.0,5.0,0.0,1.0,75.0,45.0,19.0,14.0,11.0,5.0,12.0,28.0,1515.0,123.0,538.0
Estoril,Millennium Estoril Open,2022-04-27,Outdoor,Clay,2nd Round,7.0,6.0,4.0,6.0,6.0,0.0,,,,,2.0,1.0,Completed,132686,126207,Estoril_2022_126207_132686,1.0,4.0,1.0,2.0,2022-7290,32,A,2022-04-27,5.0,,Frances Tiafoe,R,188.0,USA,24.2,,WC,Nuno Borges,R,185.0,POR,25.1,3,117.0,6.0,3.0,94.0,50.0,39.0,24.0,14.0,3.0,4.0,8.0,4.0,87.0,52.0,36.0,20.0,14.0,6.0,9.0,29.0,1513.0,131.0,493.0
Estoril,Millennium Estoril Open,2022-04-27,Outdoor,Clay,2nd Round,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,104655,104269,Estoril_2022_104269_104655,0.0,0.0,1.0,1.0,2022-7290,32,A,2022-04-27,,LL,Fernando Verdasco,L,188.0,ESP,38.4,,Q,Pablo Cuevas,R,180.0,URU,36.3,3,73.0,3.0,2.0,56.0,38.0,27.0,10.0,9.0,4.0,5.0,3.0,0.0,49.0,37.0,23.0,4.0,8.0,2.0,6.0,118.0,554.0,107.0,619.0
Estoril,Millennium Estoril Open,2022-04-27,Outdoor,Clay,2nd Round,5.0,7.0,6.0,1.0,6.0,2.0,,,,,2.0,1.0,Completed,126952,105077,Estoril_2022_105077_126952,1.0,1.0,2.0,4.0,2022-7290,32,A,2022-04-27,6.0,,Albert Ramos,L,188.0,ESP,34.2,,,Soon Woo Kwon,R,180.0,KOR,24.3,3,130.0,5.0,1.0,75.0,54.0,38.0,13.0,13.0,2.0,4.0,5.0,5.0,91.0,44.0,28.0,22.0,14.0,5.0,11.0,31.0,1266.0,71.0,858.0
Munich,BMW Open,2022-04-27,Outdoor,Clay,2nd Round,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,127157,200175,Munich_2022_200175_127157,2.0,7.0,1.0,3.0,2022-0308,32,A,2022-04-27,7.0,,Miomir Kecmanovic,R,183.0,SRB,22.6,,,Daniel Altmaier,R,191.0,GER,23.6,3,72.0,1.0,0.0,58.0,46.0,32.0,6.0,9.0,7.0,9.0,2.0,0.0,50.0,31.0,20.0,5.0,9.0,3.0,8.0,38.0,1211.0,67.0,870.0
Munich,BMW Open,2022-04-27,Outdoor,Clay,2nd Round,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,100644,208029,Munich_2022_208029_100644,2.0,4.0,0.0,0.0,2022-0308,32,A,2022-04-27,,WC,Holger Rune,R,185.0,DEN,18.9,1.0,,Alexander Zverev,R,198.0,GER,25.0,3,99.0,1.0,0.0,76.0,59.0,37.0,9.0,9.0,6.0,7.0,0.0,3.0,48.0,36.0,19.0,5.0,8.0,7.0,11.0,70.0,859.0,3.0,7465.0
Munich,BMW Open,2022-04-27,Outdoor,Clay,2nd Round,3.0,6.0,6.0,2.0,6.0,4.0,,,,,2.0,1.0,Completed,125802,105932,Munich_2022_105932_125802,0.0,0.0,1.0,2.0,2022-0308,32,A,2022-04-27,4.0,,Nikoloz Basilashvili,R,185.0,GEO,30.1,,,Ilya Ivashka,R,193.0,BLR,28.1,3,111.0,2.0,2.0,83.0,53.0,34.0,21.0,14.0,5.0,7.0,10.0,3.0,91.0,63.0,43.0,11.0,13.0,6.0,9.0,20.0,1788.0,44.0,1099.0
Munich,BMW Open,2022-04-27,Outdoor,Clay,2nd Round,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,202195,200325,Munich_2022_200325_202195,2.0,3.0,2.0,4.0,2022-0308,32,A,2022-04-27,,,Emil Ruusuvuori,R,188.0,FIN,23.0,,,Maxime Cressy,R,198.0,USA,24.9,3,75.0,2.0,4.0,56.0,36.0,29.0,9.0,9.0,2.0,3.0,3.0,2.0,52.0,38.0,18.0,8.0,9.0,2.0,6.0,63.0,889.0,65.0,876.0
Estoril,Millennium Estoril Open,2022-04-28,Outdoor,Clay,2nd Round,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,106198,104755,Estoril_2022_104755_106198,2.0,6.0,2.0,6.0,2022-7290,32,A,2022-04-28,,,Richard Gasquet,R,185.0,FRA,35.8,,Q,Hugo Dellien,R,180.0,BOL,28.8,3,130.0,5.0,3.0,96.0,48.0,28.0,23.0,10.0,8.0,11.0,0.0,1.0,74.0,62.0,29.0,7.0,10.0,4.0,9.0,80.0,786.0,85.0,758.0
Estoril,Millennium Estoril Open,2022-04-28,Outdoor,Clay,2nd Round,1.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,105227,202104,Estoril_2022_202104_105227,2.0,8.0,0.0,0.0,2022-7290,32,A,2022-04-28,,,Sebastian Baez,R,170.0,ARG,21.3,3.0,,Marin Cilic,R,198.0,CRO,33.5,3,110.0,3.0,2.0,67.0,45.0,30.0,16.0,12.0,0.0,2.0,9.0,5.0,78.0,48.0,35.0,14.0,12.0,6.0,9.0,59.0,921.0,23.0,1740.0
Estoril,Millennium Estoril Open,2022-04-28,Outdoor,Clay,2nd Round,1.0,6.0,6.0,2.0,6.0,2.0,,,,,2.0,1.0,Completed,126535,200000,Estoril_2022_200000_126535,0.0,0.0,2.0,5.0,2022-7290,32,A,2022-04-28,1.0,,Felix Auger Aliassime,R,193.0,CAN,21.7,,LL,Carlos Taberner,R,183.0,ESP,24.7,3,113.0,4.0,1.0,72.0,57.0,34.0,9.0,12.0,4.0,8.0,0.0,1.0,65.0,51.0,28.0,6.0,11.0,6.0,11.0,10.0,3625.0,92.0,729.0
Estoril,Millennium Estoril Open,2022-04-28,Outdoor,Clay,2nd Round,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,126127,200624,Estoril_2022_200624_126127,2.0,6.0,2.0,4.0,2022-7290,32,A,2022-04-28,8.0,,Sebastian Korda,R,196.0,USA,21.8,,,Benjamin Bonzi,R,185.0,FRA,25.8,3,81.0,2.0,2.0,51.0,38.0,26.0,8.0,9.0,1.0,2.0,0.0,1.0,63.0,39.0,20.0,12.0,9.0,3.0,7.0,37.0,1215.0,58.0,921.0
Munich,BMW Open,2022-04-28,Outdoor,Clay,2nd Round,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,106078,122298,Munich_2022_122298_106078,2.0,4.0,1.0,6.0,2022-0308,32,A,2022-04-28,8.0,,Botic Van De Zandschulp,R,188.0,NED,26.5,,Q,Egor Gerasimov,R,196.0,BLR,29.4,3,68.0,2.0,0.0,41.0,28.0,24.0,9.0,8.0,1.0,1.0,0.0,1.0,51.0,34.0,19.0,9.0,9.0,2.0,6.0,40.0,1161.0,150.0,412.0
Munich,BMW Open,2022-04-28,Outdoor,Clay,2nd Round,3.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,144684,134770,Munich_2022_134770_144684,0.0,0.0,1.0,3.0,2022-0308,32,A,2022-04-28,2.0,,Casper Ruud,R,183.0,NOR,23.3,,,Alex Molcan,L,178.0,SVK,24.3,3,135.0,6.0,6.0,101.0,65.0,48.0,14.0,15.0,5.0,8.0,2.0,3.0,88.0,61.0,42.0,13.0,14.0,7.0,10.0,7.0,4110.0,46.0,1028.0
Munich,BMW Open,2022-04-28,Outdoor,Clay,2nd Round,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,124187,106214,Munich_2022_106214_124187,2.0,9.0,0.0,0.0,2022-0308,32,A,2022-04-28,,,Oscar Otte,R,196.0,GER,28.7,3.0,,Reilly Opelka,R,211.0,USA,24.6,3,86.0,2.0,3.0,63.0,35.0,32.0,17.0,10.0,2.0,2.0,10.0,3.0,69.0,39.0,27.0,15.0,10.0,4.0,6.0,62.0,893.0,17.0,2475.0
Munich,BMW Open,2022-04-28,Outdoor,Clay,2nd Round,6.0,2.0,2.0,6.0,4.0,1.0,,,,,1.0,1.0,Retired,200384,126214,Munich_2022_126214_200384,2.0,5.0,1.0,3.0,2022-0308,32,A,2022-04-28,,LL,Alejandro Tabilo,L,188.0,CHI,24.8,,,Hugo Gaston,L,173.0,FRA,21.5,3,106.0,3.0,0.0,67.0,48.0,35.0,7.0,11.0,3.0,6.0,3.0,0.0,86.0,49.0,31.0,14.0,10.0,16.0,20.0,91.0,732.0,72.0,857.0
Estoril,Millennium Estoril Open,2022-04-29,Outdoor,Clay,Quarterfinals,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,104269,105077,Estoril_2022_105077_104269,2.0,8.0,2.0,7.0,2022-7290,32,A,2022-04-29,6.0,,Albert Ramos,L,188.0,ESP,34.2,,LL,Fernando Verdasco,L,188.0,ESP,38.4,3,80.0,4.0,0.0,52.0,37.0,26.0,10.0,8.0,1.0,1.0,2.0,2.0,53.0,34.0,16.0,11.0,8.0,8.0,12.0,31.0,1266.0,118.0,554.0
Estoril,Millennium Estoril Open,2022-04-29,Outdoor,Clay,Quarterfinals,3.0,6.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,104755,202104,Estoril_2022_202104_104755,3.0,10.0,4.0,11.0,2022-7290,32,A,2022-04-29,,,Sebastian Baez,R,170.0,ARG,21.3,,,Richard Gasquet,R,185.0,FRA,35.8,3,115.0,3.0,1.0,78.0,59.0,40.0,9.0,13.0,6.0,9.0,6.0,4.0,79.0,36.0,26.0,18.0,13.0,1.0,6.0,59.0,921.0,80.0,786.0
Estoril,Millennium Estoril Open,2022-04-29,Outdoor,Clay,Quarterfinals,7.0,6.0,5.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,200221,126207,Estoril_2022_126207_200221,2.0,9.0,2.0,4.0,2022-7290,32,A,2022-04-29,5.0,,Frances Tiafoe,R,188.0,USA,24.2,4.0,,Alejandro Davidovich Fokina,R,183.0,ESP,22.8,3,179.0,5.0,1.0,140.0,89.0,57.0,28.0,18.0,13.0,17.0,0.0,6.0,123.0,92.0,58.0,18.0,18.0,4.0,8.0,29.0,1513.0,28.0,1515.0
Estoril,Millennium Estoril Open,2022-04-29,Outdoor,Clay,Quarterfinals,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,200000,200624,Estoril_2022_200624_200000,4.0,12.0,1.0,3.0,2022-7290,32,A,2022-04-29,8.0,,Sebastian Korda,R,196.0,USA,21.8,1.0,,Felix Auger Aliassime,R,193.0,CAN,21.7,3,89.0,3.0,2.0,53.0,38.0,26.0,7.0,8.0,2.0,3.0,2.0,1.0,56.0,36.0,18.0,9.0,8.0,6.0,11.0,37.0,1215.0,10.0,3625.0
Munich,BMW Open,2022-04-29,Outdoor,Clay,Quarterfinals,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,105932,200175,Munich_2022_200175_105932,4.0,13.0,1.0,3.0,2022-0308,32,A,2022-04-29,7.0,,Miomir Kecmanovic,R,183.0,SRB,22.6,4.0,,Nikoloz Basilashvili,R,185.0,GEO,30.1,3,86.0,10.0,0.0,68.0,45.0,29.0,15.0,10.0,6.0,8.0,1.0,3.0,64.0,37.0,25.0,9.0,10.0,3.0,7.0,38.0,1211.0,20.0,1788.0
Munich,BMW Open,2022-04-29,Outdoor,Clay,Quarterfinals,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,134770,122298,Munich_2022_122298_134770,4.0,11.0,1.0,1.0,2022-0308,32,A,2022-04-29,8.0,,Botic Van De Zandschulp,R,188.0,NED,26.5,2.0,,Casper Ruud,R,183.0,NOR,23.3,3,93.0,4.0,0.0,49.0,34.0,25.0,12.0,9.0,1.0,1.0,2.0,1.0,71.0,42.0,21.0,17.0,10.0,6.0,10.0,40.0,1161.0,7.0,4110.0
Munich,BMW Open,2022-04-29,Outdoor,Clay,Quarterfinals,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,126214,106214,Munich_2022_106214_126214,4.0,14.0,2.0,5.0,2022-0308,32,A,2022-04-29,,,Oscar Otte,R,196.0,GER,28.7,,LL,Alejandro Tabilo,L,188.0,CHI,24.8,3,85.0,6.0,1.0,61.0,36.0,28.0,13.0,9.0,4.0,5.0,2.0,5.0,71.0,45.0,26.0,11.0,10.0,3.0,7.0,62.0,893.0,91.0,732.0
Munich,BMW Open,2022-04-29,Outdoor,Clay,Quarterfinals,6.0,0.0,6.0,2.0,,,,,,,2.0,0.0,Completed,200325,208029,Munich_2022_208029_200325,4.0,11.0,4.0,9.0,2022-0308,32,A,2022-04-29,,WC,Holger Rune,R,185.0,DEN,18.9,,,Emil Ruusuvuori,R,188.0,FIN,23.0,3,62.0,3.0,1.0,40.0,28.0,22.0,7.0,7.0,3.0,3.0,1.0,4.0,46.0,35.0,16.0,4.0,7.0,5.0,10.0,70.0,859.0,63.0,889.0
Estoril,Millennium Estoril Open,2022-04-30,Outdoor,Clay,Semifinals,6.0,3.0,6.0,7.0,6.0,0.0,,,,,2.0,1.0,Completed,105077,202104,Estoril_2022_202104_105077,4.0,14.0,4.0,16.0,2022-7290,32,A,2022-04-30,,,Sebastian Baez,R,170.0,ARG,21.3,6.0,,Albert Ramos,L,188.0,ESP,34.2,3,155.0,3.0,2.0,93.0,68.0,50.0,14.0,14.0,3.0,3.0,0.0,1.0,109.0,77.0,47.0,13.0,13.0,12.0,16.0,59.0,921.0,31.0,1266.0
Estoril,Millennium Estoril Open,2022-04-30,Outdoor,Clay,Semifinals,4.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,200624,126207,Estoril_2022_126207_200624,3.0,10.0,6.0,20.0,2022-7290,32,A,2022-04-30,5.0,,Frances Tiafoe,R,188.0,USA,24.2,8.0,,Sebastian Korda,R,196.0,USA,21.8,3,175.0,8.0,0.0,127.0,68.0,44.0,29.0,16.0,9.0,14.0,8.0,2.0,107.0,62.0,39.0,21.0,16.0,2.0,7.0,29.0,1513.0,37.0,1215.0
Munich,BMW Open,2022-04-30,Outdoor,Clay,Semifinals,2.0,6.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,200175,122298,Munich_2022_122298_200175,6.0,18.0,6.0,18.0,2022-0308,32,A,2022-04-30,8.0,,Botic Van De Zandschulp,R,188.0,NED,26.5,7.0,,Miomir Kecmanovic,R,183.0,SRB,22.6,3,172.0,1.0,5.0,101.0,70.0,41.0,14.0,15.0,7.0,13.0,1.0,2.0,124.0,85.0,48.0,19.0,15.0,11.0,16.0,40.0,1161.0,38.0,1211.0
Munich,BMW Open,2022-04-30,Outdoor,Clay,Semifinals,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,106214,208029,Munich_2022_208029_106214,6.0,21.0,6.0,20.0,2022-0308,32,A,2022-04-30,,WC,Holger Rune,R,185.0,DEN,18.9,,,Oscar Otte,R,196.0,GER,28.7,3,88.0,4.0,1.0,57.0,35.0,27.0,14.0,10.0,6.0,7.0,3.0,1.0,69.0,49.0,30.0,10.0,10.0,10.0,13.0,70.0,859.0,62.0,893.0
Madrid,Mutua Madrid Open,2022-05-01,Outdoor,Clay,1st Round,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,132283,207733,Madrid_2022_207733_132283,0.0,0.0,0.0,0.0,2022-1536,64,M,2022-05-01,,WC,Jack Draper,L,191.0,GBR,20.3,,,Lorenzo Sonego,R,191.0,ITA,26.9,3,98.0,4.0,0.0,63.0,32.0,25.0,17.0,10.0,3.0,4.0,0.0,3.0,54.0,32.0,23.0,9.0,9.0,3.0,6.0,121.0,544.0,28.0,1540.0
Madrid,Mutua Madrid Open,2022-05-01,Outdoor,Clay,1st Round,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,105936,104545,Madrid_2022_104545_105936,0.0,0.0,0.0,0.0,2022-1536,64,M,2022-05-01,,,John Isner,R,206.0,USA,37.0,,,Filip Krajinovic,R,185.0,SRB,30.1,3,97.0,30.0,2.0,76.0,51.0,40.0,14.0,11.0,1.0,2.0,5.0,2.0,70.0,50.0,37.0,13.0,11.0,2.0,4.0,23.0,1706.0,56.0,960.0
Madrid,Mutua Madrid Open,2022-05-01,Outdoor,Clay,1st Round,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,105643,105554,Madrid_2022_105554_105643,0.0,0.0,0.0,0.0,2022-1536,64,M,2022-05-01,,,Daniel Evans,R,175.0,GBR,31.9,,,Federico Delbonis,L,190.0,ARG,31.5,3,96.0,6.0,1.0,61.0,46.0,35.0,6.0,10.0,1.0,2.0,1.0,2.0,57.0,39.0,26.0,6.0,9.0,0.0,3.0,36.0,1242.0,37.0,1219.0
Estoril,Millennium Estoril Open,2022-05-01,Outdoor,Clay,The Final,6.0,3.0,6.0,2.0,,,,,,,1.0,0.0,Completed,126207,202104,Estoril_2022_202104_126207,5.0,22.0,4.0,11.0,2022-7290,32,A,2022-05-01,,,Sebastian Baez,R,170.0,ARG,21.3,5.0,,Frances Tiafoe,R,188.0,USA,24.2,3,74.0,4.0,0.0,64.0,41.0,27.0,14.0,9.0,3.0,4.0,0.0,1.0,46.0,18.0,12.0,11.0,8.0,1.0,5.0,59.0,921.0,29.0,1513.0
Munich,BMW Open,2022-05-01,Outdoor,Clay,The Final,3.0,4.0,,,,,,,,,0.0,0.0,Retired,122298,208029,Munich_2022_208029_122298,8.0,25.0,7.0,17.0,2022-0308,32,A,2022-05-01,,WC,Holger Rune,R,185.0,DEN,18.9,8.0,,Botic Van De Zandschulp,R,188.0,NED,26.5,3,59.0,0.0,0.0,22.0,15.0,8.0,3.0,3.0,1.0,3.0,0.0,0.0,32.0,20.0,8.0,8.0,4.0,3.0,5.0,70.0,859.0,40.0,1161.0
Madrid,Mutua Madrid Open,2022-05-02,Outdoor,Clay,1st Round,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,144750,200221,Madrid_2022_200221_144750,0.0,0.0,0.0,0.0,2022-1536,64,M,2022-05-02,,,Alejandro Davidovich Fokina,R,183.0,ESP,22.9,,,Lloyd Harris,R,193.0,RSA,25.1,3,78.0,2.0,3.0,59.0,36.0,32.0,15.0,11.0,1.0,1.0,7.0,0.0,52.0,31.0,23.0,13.0,10.0,1.0,3.0,29.0,1470.0,38.0,1200.0
Madrid,Mutua Madrid Open,2022-05-02,Outdoor,Clay,1st Round,7.0,6.0,1.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,124079,200282,Madrid_2022_200282_124079,0.0,0.0,0.0,0.0,2022-1536,64,M,2022-05-02,,,Alex De Minaur,R,183.0,AUS,23.2,,,Pedro Martinez,R,185.0,ESP,25.0,3,164.0,6.0,1.0,103.0,58.0,38.0,19.0,14.0,12.0,17.0,3.0,4.0,95.0,66.0,44.0,10.0,14.0,3.0,7.0,22.0,1736.0,44.0,1105.0
Madrid,Mutua Madrid Open,2022-05-02,Outdoor,Clay,1st Round,6.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,126205,206173,Madrid_2022_206173_126205,0.0,0.0,0.0,0.0,2022-1536,64,M,2022-05-02,10.0,,Jannik Sinner,R,188.0,ITA,20.7,,,Tommy Paul,R,185.0,USA,24.9,3,180.0,8.0,3.0,108.0,64.0,46.0,29.0,17.0,2.0,4.0,1.0,3.0,121.0,76.0,56.0,20.0,16.0,8.0,11.0,12.0,3015.0,35.0,1243.0
