tournament_location,tournament_name,Date,indoor_or_outdoor,Surface,Round,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before,tournament_id,draw_size,tournament_level,tournament_date,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Pune,Maharashtra Open,2023-01-04,Outdoor,Hard,2nd Round,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,106065,134868,Pune_2023_134868_106065,2.0,4.0,2.0,8.0,2023-0891,32,A,2023-01-04,,,Tallon Griekspoor,R,188.0,NED,26.5,,,Marco Cecchinato,R,185.0,ITA,30.2,3,75.0,7.0,2.0,54.0,35.0,29.0,14.0,10.0,0.0,0.0,3.0,3.0,58.0,36.0,25.0,12.0,10.0,3.0,5.0,95.0,584.0,101.0,562.0
Pune,Maharashtra Open,2023-01-04,Outdoor,Hard,2nd Round,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,207925,122298,Pune_2023_122298_207925,0.0,0.0,2.0,4.0,2023-0891,32,A,2023-01-04,2.0,,Botic Van De Zandschulp,R,188.0,NED,27.2,,Q,Flavio Cobolli,R,,ITA,20.6,3,93.0,2.0,3.0,64.0,41.0,30.0,13.0,11.0,4.0,6.0,5.0,0.0,59.0,38.0,24.0,9.0,11.0,0.0,4.0,35.0,1160.0,171.0,335.0
Pune,Maharashtra Open,2023-01-04,Outdoor,Hard,2nd Round,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,200325,126127,Pune_2023_126127_200325,2.0,9.0,0.0,0.0,2023-0891,32,A,2023-01-04,,,Benjamin Bonzi,R,185.0,FRA,26.5,3.0,,Emil Ruusuvuori,R,188.0,FIN,23.7,3,80.0,5.0,2.0,65.0,47.0,38.0,9.0,10.0,1.0,1.0,5.0,2.0,50.0,36.0,27.0,7.0,9.0,0.0,2.0,60.0,781.0,40.0,1011.0
Pune,Maharashtra Open,2023-01-04,Outdoor,Hard,2nd Round,2.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,111581,105936,Pune_2023_105936_111581,1.0,2.0,2.0,6.0,2023-0891,32,A,2023-01-04,6.0,,Filip Krajinovic,R,185.0,SRB,30.8,,,Michael Mmoh,R,188.0,USA,24.9,3,130.0,9.0,0.0,93.0,67.0,47.0,12.0,14.0,5.0,8.0,4.0,1.0,72.0,42.0,29.0,19.0,13.0,0.0,3.0,54.0,845.0,113.0,507.0
Pune,Maharashtra Open,2023-01-04,Outdoor,Hard,2nd Round,6.0,3.0,3.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,106148,105227,Pune_2023_105227_106148,0.0,0.0,2.0,7.0,2023-0891,32,A,2023-01-04,1.0,,Marin Cilic,R,198.0,CRO,34.2,,,Roberto Carballes Baena,R,183.0,ESP,29.7,3,122.0,16.0,3.0,76.0,54.0,45.0,9.0,13.0,2.0,3.0,3.0,3.0,74.0,40.0,26.0,18.0,12.0,4.0,7.0,17.0,2105.0,74.0,695.0
Adelaide 1,Adelaide International 1,2023-01-05,Outdoor,Hard,2nd Round,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,126128,133430,Adelaide 1_2023_133430_126128,1.0,1.0,2.0,6.0,2023-2843,32,A,2023-01-05,7.0,,Denis Shapovalov,L,185.0,CAN,23.7,,Q,Roman Safiullin,R,185.0,RUS,25.4,3,81.0,7.0,2.0,44.0,25.0,21.0,13.0,9.0,0.0,1.0,3.0,3.0,70.0,45.0,29.0,11.0,10.0,7.0,11.0,18.0,2075.0,88.0,606.0
Adelaide 1,Adelaide International 1,2023-01-05,Outdoor,Hard,2nd Round,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,111460,104925,Adelaide 1_2023_104925_111460,2.0,7.0,2.0,5.0,2023-2843,32,A,2023-01-05,1.0,,Novak Djokovic,R,188.0,SRB,35.6,,,Quentin Halys,R,191.0,FRA,26.1,3,115.0,10.0,4.0,76.0,50.0,44.0,14.0,12.0,0.0,1.0,11.0,2.0,82.0,48.0,39.0,16.0,12.0,4.0,5.0,5.0,4820.0,64.0,767.0
Adelaide 1,Adelaide International 1,2023-01-05,Outdoor,Hard,2nd Round,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,105138,200624,Adelaide 1_2023_200624_105138,2.0,4.0,1.0,3.0,2023-2843,32,A,2023-01-05,,,Sebastian Korda,R,196.0,USA,22.4,,,Roberto Bautista Agut,R,183.0,ESP,34.7,3,73.0,12.0,0.0,57.0,41.0,33.0,10.0,10.0,2.0,2.0,5.0,3.0,47.0,26.0,20.0,12.0,10.0,0.0,2.0,33.0,1175.0,21.0,1940.0
Adelaide 1,Adelaide International 1,2023-01-05,Outdoor,Hard,2nd Round,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,106423,206173,Adelaide 1_2023_206173_106423,2.0,7.0,2.0,2.0,2023-2843,32,A,2023-01-05,6.0,,Jannik Sinner,R,188.0,ITA,21.3,,WC,Thanasi Kokkinakis,R,196.0,AUS,26.7,3,122.0,5.0,2.0,78.0,58.0,40.0,12.0,11.0,6.0,7.0,9.0,3.0,72.0,45.0,33.0,13.0,11.0,1.0,3.0,15.0,2410.0,93.0,592.0
Pune,Maharashtra Open,2023-01-05,Outdoor,Hard,Quarterfinals,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,124079,106234,Pune_2023_106234_124079,4.0,10.0,2.0,7.0,2023-0891,32,A,2023-01-05,8.0,,Aslan Karatsev,R,185.0,RUS,29.3,,,Pedro Martinez,R,185.0,ESP,25.6,3,73.0,13.0,3.0,58.0,40.0,33.0,6.0,8.0,5.0,5.0,1.0,3.0,44.0,26.0,15.0,6.0,7.0,4.0,8.0,59.0,795.0,62.0,776.0
