ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id,Winner_Sets_Before,Winner_Gems_Before,Loser_Sets_Before,Loser_Gems_Before
2,Pune,Maharashtra Open,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Karatsev A.,Andujar P.,59.0,121.0,795.0,467.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.31,3.79,1.33,3.79,1.29,3.52,104665,106234,Pune_2023_106234_104665,0.0,0.0,0.0,0.0
2,Pune,Maharashtra Open,2023-01-03,ATP250,Outdoor,Hard,1st Round,3,Cobolli F.,Mukund S.,171.0,340.0,335.0,146.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.33,3.4,1.37,3.37,1.38,3.53,1.34,3.19,124154,207925,Pune_2023_207925_124154,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Khachanov K.,Draper J.,20.0,42.0,1990.0,990.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.3,1.62,2.43,1.63,2.46,1.82,2.25,1.63,207733,111575,Adelaide 1_2023_111575_207733,2.0,6.0,2.0,9.0
1,Adelaide 1,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Nishioka Y.,Mcdonald M.,36.0,63.0,1134.0,775.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.69,2.31,1.7,2.45,1.64,2.24,111456,106415,Adelaide 1_2023_106415_111456,1.0,0.0,1.0,3.0
1,Adelaide 1,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Kecmanovic M.,7.0,29.0,4065.0,1420.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.18,5.66,1.18,6.0,1.16,5.24,200175,106421,Adelaide 1_2023_106421_200175,1.0,1.0,2.0,4.0
1,Adelaide 1,Adelaide International 1,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Popyrin A.,Giron M.,120.0,61.0,469.0,776.0,4.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,1.73,2.1,1.78,2.17,1.85,2.22,1.74,2.09,106218,200615,Adelaide 1_2023_200615_106218,2.0,3.0,1.0,2.0
2,Pune,Maharashtra Open,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Marterer M.,Djere L.,159.0,70.0,354.0,738.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.38,1.57,2.36,1.67,2.58,1.67,2.38,1.56,111513,109739,Pune_2023_109739_111513,1.0,4.0,2.0,6.0
2,Pune,Maharashtra Open,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Karatsev A.,Van Rijthoven T.,59.0,111.0,795.0,516.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.38,1.74,2.23,1.76,2.38,1.67,2.19,126646,106234,Pune_2023_106234_126646,2.0,8.0,2.0,4.0
2,Pune,Maharashtra Open,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Martinez P.,Baez S.,62.0,43.0,776.0,987.0,3.0,6.0,6.0,1.0,6.0,3.0,,,,,2.0,1.0,Completed,1.91,1.91,1.97,1.93,1.97,1.95,1.91,1.88,202104,124079,Pune_2023_124079_202104,1.0,2.0,0.0,0.0
2,Pune,Maharashtra Open,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Griekspoor T.,Cecchinato M.,95.0,101.0,584.0,562.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.33,3.4,1.31,3.85,1.36,3.85,1.29,3.52,106065,134868,Pune_2023_134868_106065,2.0,4.0,2.0,8.0
2,Pune,Maharashtra Open,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Van De Zandschulp B.,Cobolli F.,35.0,171.0,1160.0,335.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.29,3.75,1.29,3.97,1.3,4.04,1.27,3.72,207925,122298,Pune_2023_122298_207925,0.0,0.0,2.0,4.0
2,Pune,Maharashtra Open,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Bonzi B.,Ruusuvuori E.,60.0,40.0,781.0,1011.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.3,1.62,2.3,1.69,2.45,1.7,2.27,1.62,200325,126127,Pune_2023_126127_200325,2.0,9.0,0.0,0.0
2,Pune,Maharashtra Open,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Krajinovic F.,Mmoh M.,54.0,113.0,845.0,507.0,2.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.8,2.0,1.86,2.05,1.86,2.16,1.79,2.01,111581,105936,Pune_2023_105936_111581,1.0,2.0,2.0,6.0
2,Pune,Maharashtra Open,2023-01-04,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Carballes Baena R.,17.0,74.0,2105.0,695.0,6.0,3.0,3.0,6.0,6.0,1.0,,,,,2.0,1.0,Completed,1.22,4.33,1.23,4.68,1.25,4.68,1.21,4.28,106148,105227,Pune_2023_105227_106148,0.0,0.0,2.0,7.0
1,Adelaide 1,Adelaide International 1,2023-01-05,ATP250,Outdoor,Hard,2nd Round,3,Shapovalov D.,Safiullin R.,18.0,88.0,2075.0,606.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.51,2.78,1.51,3.02,1.45,2.73,126128,133430,Adelaide 1_2023_133430_126128,1.0,1.0,2.0,6.0
1,Adelaide 1,Adelaide International 1,2023-01-05,ATP250,Outdoor,Hard,2nd Round,3,Djokovic N.,Halys Q.,5.0,64.0,4820.0,767.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.03,15.0,1.04,19.16,1.03,20.42,1.02,14.1,111460,104925,Adelaide 1_2023_104925_111460,2.0,7.0,2.0,5.0
1,Adelaide 1,Adelaide International 1,2023-01-05,ATP250,Outdoor,Hard,2nd Round,3,Korda S.,Bautista Agut R.,33.0,21.0,1175.0,1940.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.8,2.0,1.85,2.06,1.85,2.24,1.79,2.01,105138,200624,Adelaide 1_2023_200624_105138,2.0,4.0,1.0,3.0
1,Adelaide 1,Adelaide International 1,2023-01-05,ATP250,Outdoor,Hard,2nd Round,3,Sinner J.,Kokkinakis T.,15.0,93.0,2410.0,592.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.27,4.25,1.29,4.25,1.24,3.92,106423,206173,Adelaide 1_2023_206173_106423,2.0,7.0,2.0,2.0
2,Pune,Maharashtra Open,2023-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Karatsev A.,Martinez P.,59.0,62.0,795.0,776.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.5,2.81,1.54,2.81,1.48,2.63,124079,106234,Pune_2023_106234_124079,4.0,10.0,2.0,7.0
2,Pune,Maharashtra Open,2023-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Griekspoor T.,Cilic M.,95.0,17.0,584.0,2105.0,,,,,,,,,,,,,Walkover,2.75,1.44,3.07,1.43,3.07,1.47,2.79,1.43,105227,134868,Pune_2023_134868_105227,4.0,8.0,1.0,5.0
2,Pune,Maharashtra Open,2023-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Van De Zandschulp B.,Marterer M.,35.0,159.0,1160.0,354.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.4,3.23,1.47,3.45,1.42,2.83,109739,122298,Pune_2023_122298_109739,2.0,4.0,3.0,9.0
2,Pune,Maharashtra Open,2023-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Bonzi B.,Krajinovic F.,60.0,54.0,781.0,845.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.6,2.52,1.62,2.65,1.53,2.48,105936,126127,Pune_2023_126127_105936,4.0,15.0,2.0,3.0
1,Adelaide 1,Adelaide International 1,2023-01-06,ATP250,Outdoor,Hard,Quarterfinals,3,Nishioka Y.,Popyrin A.,36.0,120.0,1134.0,469.0,7.0,6.0,6.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,1.73,2.1,1.76,2.18,1.77,2.35,1.68,2.16,200615,106415,Adelaide 1_2023_106415_200615,3.0,5.0,3.0,6.0
1,Adelaide 1,Adelaide International 1,2023-01-06,ATP250,Outdoor,Hard,Quarterfinals,3,Korda S.,Sinner J.,33.0,15.0,1175.0,2410.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.51,1.6,2.56,1.6,2.44,1.55,206173,200624,Adelaide 1_2023_200624_206173,4.0,8.0,4.0,10.0
1,Adelaide 1,Adelaide International 1,2023-01-06,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Khachanov K.,7.0,20.0,4065.0,1990.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.26,4.31,1.3,4.31,1.24,3.97,111575,106421,Adelaide 1_2023_106421_111575,3.0,10.0,4.0,12.0
1,Adelaide 1,Adelaide International 1,2023-01-06,ATP250,Outdoor,Hard,Quarterfinals,3,Djokovic N.,Shapovalov D.,5.0,18.0,4820.0,2075.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.17,5.96,1.19,5.96,1.15,5.34,133430,104925,Adelaide 1_2023_104925_133430,4.0,9.0,3.0,6.0
2,Pune,Maharashtra Open,2023-01-06,ATP250,Outdoor,Hard,Semifinals,3,Griekspoor T.,Karatsev A.,95.0,59.0,584.0,795.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.63,1.5,2.53,1.59,2.63,1.62,2.46,1.54,106234,134868,Pune_2023_134868_106234,4.0,8.0,6.0,19.0
2,Pune,Maharashtra Open,2023-01-06,ATP250,Outdoor,Hard,Semifinals,3,Bonzi B.,Van De Zandschulp B.,60.0,35.0,781.0,1160.0,7.0,6.0,6.0,7.0,6.0,1.0,,,,,2.0,1.0,Completed,2.3,1.62,2.25,1.72,2.33,1.72,2.22,1.65,122298,126127,Pune_2023_126127_122298,6.0,18.0,4.0,10.0
1,Adelaide 1,Adelaide International 1,2023-01-07,ATP250,Outdoor,Hard,Semifinals,3,Korda S.,Nishioka Y.,33.0,36.0,1175.0,1134.0,7.0,6.0,1.0,0.0,,,,,,,1.0,0.0,Retired,1.33,3.4,1.37,3.39,1.4,3.5,1.33,3.25,106415,200624,Adelaide 1_2023_200624_106415,6.0,15.0,4.0,9.0
1,Adelaide 1,Adelaide International 1,2023-01-07,ATP250,Outdoor,Hard,Semifinals,3,Djokovic N.,Medvedev D.,5.0,7.0,4820.0,4065.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.62,2.47,1.62,2.78,1.54,2.46,106421,104925,Adelaide 1_2023_104925_106421,6.0,14.0,5.0,16.0
2,Pune,Maharashtra Open,2023-01-07,ATP250,Outdoor,Hard,The Final,3,Griekspoor T.,Bonzi B.,95.0,60.0,584.0,781.0,4.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,2.3,1.62,2.31,1.69,2.38,1.73,2.24,1.64,126127,134868,Pune_2023_134868_126127,6.0,14.0,7.0,23.0
4,Auckland,ASB Classic,2023-01-08,ATP250,Outdoor,Hard,1st Round,3,Lestienne C.,Cachin P.,65.0,59.0,760.0,809.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.62,2.3,1.65,2.38,1.71,2.38,1.64,2.23,106398,106005,Auckland_2023_106005_106398,0.0,0.0,0.0,0.0
1,Adelaide 1,Adelaide International 1,2023-01-08,ATP250,Outdoor,Hard,The Final,3,Djokovic N.,Korda S.,5.0,33.0,4820.0,1175.0,6.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.14,5.5,1.16,6.14,1.18,6.14,1.15,5.55,200624,104925,Adelaide 1_2023_104925_200624,8.0,19.0,7.0,16.0
3,Adelaide 2,Adelaide International 2,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Mcdonald M.,Evans D.,63.0,27.0,775.0,1450.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.57,1.56,2.6,1.56,2.51,1.51,105554,111456,Adelaide 2_2023_111456_105554,0.0,0.0,0.0,0.0
3,Adelaide 2,Adelaide International 2,2023-01-09,ATP250,Outdoor,Hard,1st Round,3,Draper J.,Sonego L.,40.0,44.0,1010.0,950.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.48,2.83,1.48,2.9,1.44,2.75,132283,207733,Adelaide 2_2023_207733_132283,0.0,0.0,0.0,0.0
