,0
10586,"{'temperature_2m': 26.2, 'relative_humidity_2m': 72, 'windspeed_10m': 5.7, 'apparent_temperature': 29.7}"
10587,"{'temperature_2m': 26.0, 'relative_humidity_2m': 45, 'windspeed_10m': 10.1, 'apparent_temperature': 26.9}"
10588,"{'temperature_2m': 27.8, 'relative_humidity_2m': 56, 'windspeed_10m': 12.9, 'apparent_temperature': 29.0}"
10589,"{'temperature_2m': 24.2, 'relative_humidity_2m': 54, 'windspeed_10m': 4.5, 'apparent_temperature': 25.9}"
10590,"{'temperature_2m': 24.1, 'relative_humidity_2m': 55, 'windspeed_10m': 4.0, 'apparent_temperature': 25.0}"
10591,"{'temperature_2m': 30.5, 'relative_humidity_2m': 58, 'windspeed_10m': 11.0, 'apparent_temperature': 34.1}"
10592,"{'temperature_2m': 29.8, 'relative_humidity_2m': 59, 'windspeed_10m': 5.3, 'apparent_temperature': 33.3}"
10593,"{'temperature_2m': 27.8, 'relative_humidity_2m': 56, 'windspeed_10m': 12.9, 'apparent_temperature': 29.0}"
10594,"{'temperature_2m': 31.3, 'relative_humidity_2m': 57, 'windspeed_10m': 9.9, 'apparent_temperature': 35.0}"
10595,"{'temperature_2m': 29.0, 'relative_humidity_2m': 51, 'windspeed_10m': 17.1, 'apparent_temperature': 29.3}"
10596,"{'temperature_2m': 24.9, 'relative_humidity_2m': 43, 'windspeed_10m': 7.6, 'apparent_temperature': 25.7}"
10597,"{'temperature_2m': 28.2, 'relative_humidity_2m': 55, 'windspeed_10m': 8.3, 'apparent_temperature': 30.1}"
10598,"{'temperature_2m': 28.2, 'relative_humidity_2m': 55, 'windspeed_10m': 8.3, 'apparent_temperature': 30.1}"
10599,"{'temperature_2m': 29.5, 'relative_humidity_2m': 49, 'windspeed_10m': 13.1, 'apparent_temperature': 30.6}"
10600,"{'temperature_2m': 27.7, 'relative_humidity_2m': 68, 'windspeed_10m': 12.8, 'apparent_temperature': 30.3}"
10601,"{'temperature_2m': 26.6, 'relative_humidity_2m': 66, 'windspeed_10m': 7.9, 'apparent_temperature': 29.2}"
10602,"{'temperature_2m': 30.8, 'relative_humidity_2m': 57, 'windspeed_10m': 9.2, 'apparent_temperature': 34.6}"
10603,"{'temperature_2m': 31.9, 'relative_humidity_2m': 54, 'windspeed_10m': 11.9, 'apparent_temperature': 35.2}"
10604,"{'temperature_2m': 29.8, 'relative_humidity_2m': 60, 'windspeed_10m': 13.8, 'apparent_temperature': 32.3}"
10605,"{'temperature_2m': 23.8, 'relative_humidity_2m': 49, 'windspeed_10m': 5.8, 'apparent_temperature': 24.2}"
10606,"{'temperature_2m': 29.8, 'relative_humidity_2m': 59, 'windspeed_10m': 5.3, 'apparent_temperature': 33.3}"
10607,"{'temperature_2m': 21.2, 'relative_humidity_2m': 45, 'windspeed_10m': 17.0, 'apparent_temperature': 19.3}"
10608,"{'temperature_2m': 21.2, 'relative_humidity_2m': 45, 'windspeed_10m': 17.0, 'apparent_temperature': 19.3}"
10609,"{'temperature_2m': 24.7, 'relative_humidity_2m': 71, 'windspeed_10m': 11.4, 'apparent_temperature': 26.4}"
