ATP,tourney_location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,loser_id,winner_id,match_id
33,Queens Club,Queen's Club Championships,2021-06-17,ATP500,Outdoor,Grass,2nd Round,3,Evans D.,Mannarino A.,25,42.0,2106,1501.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.53,2.5,1.62,2.46,1.62,2.6,1.55,2.42,105173,105554,Queens Club_2021_105554_105173
33,Queens Club,Queen's Club Championships,2021-06-17,ATP500,Outdoor,Grass,2nd Round,3,Berrettini M.,Murray A.,9,124.0,4103,640.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.33,3.4,1.38,3.35,1.38,3.53,1.33,3.23,104918,126610,Queens Club_2021_126610_104918
33,Queens Club,Queen's Club Championships,2021-06-17,ATP500,Outdoor,Grass,2nd Round,3,Shapovalov D.,Lopez F.,14,64.0,2780,1080.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.43,3.05,1.85,3.05,1.46,2.69,103852,133430,Queens Club_2021_133430_103852
33,Queens Club,Queen's Club Championships,2021-06-17,ATP500,Outdoor,Grass,2nd Round,3,Tiafoe F.,Troicki V.,65,230.0,1078,294.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.45,2.98,1.5,3.0,1.44,2.74,104678,126207,Queens Club_2021_126207_104678
33,Queens Club,Queen's Club Championships,2021-06-18,ATP500,Outdoor,Grass,Quarterfinals,3,Berrettini M.,Evans D.,9,25.0,4103,2106.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.46,2.95,1.48,3.12,1.4,2.89,105554,126610,Queens Club_2021_126610_105554
33,Queens Club,Queen's Club Championships,2021-06-18,ATP500,Outdoor,Grass,Quarterfinals,3,De Minaur A.,Cilic M.,22,37.0,2350,1615.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2.03,1.88,2.1,1.95,1.96,1.84,105227,200282,Queens Club_2021_200282_105227
33,Queens Club,Queen's Club Championships,2021-06-18,ATP500,Outdoor,Grass,Quarterfinals,3,Norrie C.,Draper J.,41,309.0,1510,168.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.52,2.73,1.53,3.02,1.45,2.71,207733,111815,Queens Club_2021_111815_207733
33,Queens Club,Queen's Club Championships,2021-06-19,ATP500,Outdoor,Grass,Quarterfinals,3,Shapovalov D.,Tiafoe F.,14,65.0,2780,1078.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.38,3.34,1.44,3.45,1.38,3.0,126207,133430,Queens Club_2021_133430_126207
33,Queens Club,Queen's Club Championships,2021-06-19,ATP500,Outdoor,Grass,Semifinals,3,Berrettini M.,De Minaur A.,9,22.0,4103,2350.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.42,3.11,1.44,3.32,1.37,3.03,200282,126610,Queens Club_2021_126610_200282
33,Queens Club,Queen's Club Championships,2021-06-19,ATP500,Outdoor,Grass,Semifinals,3,Norrie C.,Shapovalov D.,41,14.0,1510,2780.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.62,1.5,2.77,1.5,2.8,1.53,2.64,1.47,133430,111815,Queens Club_2021_111815_133430
33,Queens Club,Queen's Club Championships,2021-06-20,ATP500,Outdoor,Grass,The Final,3,Berrettini M.,Norrie C.,9,41.0,4103,1510.0,6.0,4.0,6.0,7.0,6.0,3.0,,,,,2.0,1.0,Completed,1.28,3.75,1.3,3.89,1.34,4.0,1.28,3.65,111815,126610,Queens Club_2021_126610_111815
34,Eastbourne,Viking International,2021-06-22,ATP250,Outdoor,Grass,1st Round,3,Gerasimov E.,Tsonga J.W.,72,83.0,937,880.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.57,2.33,1.67,2.4,1.71,2.27,1.62,104542,106078,Eastbourne_2021_106078_104542
34,Eastbourne,Viking International,2021-06-22,ATP250,Outdoor,Grass,1st Round,3,Popyrin A.,Gombos N.,67,94.0,1019,822.0,4.0,6.0,6.0,4.0,6.0,1.0,,,,,2.0,1.0,Completed,1.36,3.2,1.32,3.64,1.4,3.85,1.34,3.19,105613,200615,Eastbourne_2021_200615_105613
34,Eastbourne,Viking International,2021-06-22,ATP250,Outdoor,Grass,1st Round,3,Ivashka I.,Gray A.,87,1133.0,863,7.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.11,6.5,1.09,9.23,1.11,12.0,1.07,8.4,202400,125802,Eastbourne_2021_125802_202400
34,Eastbourne,Viking International,2021-06-22,ATP250,Outdoor,Grass,1st Round,3,Millman J.,Clarke J.,43,230.0,1521,301.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.28,3.75,1.29,3.95,1.3,3.95,1.27,3.65,126652,105357,Eastbourne_2021_105357_126652
