tourney_id,tourney_location,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,shortened_winner_name,shortened_loser_name,match_id
2020-M056,Adelaide,Hard,32,A,20200113,298,126094,3.0,,Andrey Rublev,R,188.0,RUS,22.2,200000,2.0,,Felix Auger Aliassime,R,193.0,CAN,19.4,7-6(5) 6-7(7) 6-4,3,SF,179.0,10.0,6.0,126.0,75.0,56.0,30.0,17.0,9.0,10.0,19.0,3.0,127.0,78.0,60.0,24.0,17.0,8.0,10.0,18.0,1799.0,22.0,1656.0,Rublev A.,Auger-Aliassime F.,Adelaide_2020_126094_200000
2020-M056,Adelaide,Hard,32,A,20200113,297,126205,,Q,Tommy Paul,R,185.0,USA,22.6,105077,,,Albert Ramos,L,188.0,ESP,31.9,6-3 6-4,3,QF,77.0,9.0,4.0,53.0,31.0,26.0,16.0,10.0,0.0,0.0,4.0,2.0,56.0,32.0,21.0,13.0,9.0,2.0,4.0,90.0,600.0,42.0,1130.0,Paul T.,Ramos-Vinolas A.,Adelaide_2020_126205_105077
2020-M056,Adelaide,Hard,32,A,20200113,296,144750,,Q,Lloyd Harris,R,193.0,RSA,22.8,105807,4.0,,Pablo Carreno Busta,R,188.0,ESP,28.5,6-3 6-3,3,QF,66.0,13.0,3.0,44.0,32.0,28.0,9.0,9.0,0.0,0.0,1.0,2.0,60.0,39.0,25.0,9.0,9.0,6.0,9.0,91.0,594.0,30.0,1377.0,Harris L.,Carreno Busta P.,Adelaide_2020_144750_105807
2020-M056,Adelaide,Hard,32,A,20200113,295,126094,3.0,,Andrey Rublev,R,188.0,RUS,22.2,105554,,,Daniel Evans,R,175.0,GBR,29.6,6-4 3-6 6-3,3,QF,121.0,12.0,2.0,79.0,45.0,37.0,20.0,14.0,5.0,6.0,5.0,1.0,97.0,58.0,39.0,21.0,14.0,7.0,9.0,18.0,1799.0,33.0,1324.0,Rublev A.,Evans D.,Adelaide_2020_126094_105554
2020-M056,Adelaide,Hard,32,A,20200113,294,200000,2.0,,Felix Auger Aliassime,R,193.0,CAN,19.4,106109,,WC,Alex Bolt,L,183.0,AUS,27.0,6-3 6-0,3,QF,55.0,8.0,0.0,32.0,21.0,19.0,9.0,7.0,0.0,0.0,2.0,2.0,50.0,32.0,17.0,6.0,8.0,4.0,9.0,22.0,1656.0,157.0,332.0,Auger-Aliassime F.,Bolt A.,Adelaide_2020_200000_106109
2020-M056,Adelaide,Hard,32,A,20200113,293,105077,,,Albert Ramos,L,188.0,ESP,31.9,144719,,LL,Jaume Munar,R,183.0,ESP,22.6,7-6(3) 6-3,3,R16,116.0,1.0,2.0,83.0,53.0,37.0,13.0,11.0,8.0,11.0,3.0,5.0,66.0,51.0,30.0,7.0,10.0,5.0,9.0,42.0,1130.0,88.0,608.0,Ramos-Vinolas A.,Munar J.,Adelaide_2020_105077_144719
2020-M056,Adelaide,Hard,32,A,20200113,292,126205,,Q,Tommy Paul,R,185.0,USA,22.6,104655,,,Pablo Cuevas,R,180.0,URU,34.0,6-1 6-2,3,R16,59.0,6.0,1.0,49.0,27.0,21.0,13.0,8.0,4.0,4.0,0.0,4.0,47.0,30.0,17.0,6.0,7.0,3.0,7.0,90.0,600.0,44.0,1097.0,Paul T.,Cuevas P.,Adelaide_2020_126205_104655
2020-M056,Adelaide,Hard,32,A,20200113,291,105807,4.0,,Pablo Carreno Busta,R,188.0,ESP,28.5,104871,,,Jeremy Chardy,R,188.0,FRA,32.9,6-3 6-2,3,R16,75.0,3.0,1.0,57.0,41.0,34.0,7.0,9.0,3.0,3.0,6.0,4.0,54.0,30.0,21.0,8.0,8.0,0.0,3.0,30.0,1377.0,56.0,920.0,Carreno Busta P.,Chardy J.,Adelaide_2020_105807_104871
2020-M056,Adelaide,Hard,32,A,20200113,290,144750,,Q,Lloyd Harris,R,193.0,RSA,22.8,111513,,,Laslo Djere,R,188.0,SRB,24.6,7-6(5) 6-3,3,R16,107.0,13.0,2.0,66.0,40.0,35.0,15.0,11.0,1.0,1.0,4.0,2.0,64.0,35.0,27.0,16.0,10.0,3.0,4.0,91.0,594.0,40.0,1165.0,Harris L.,Djere L.,Adelaide_2020_144750_111513
2020-M056,Adelaide,Hard,32,A,20200113,289,105554,,,Daniel Evans,R,175.0,GBR,29.6,122330,,,Alexander Bublik,R,196.0,KAZ,22.5,7-5 6-2,3,R16,74.0,0.0,1.0,50.0,35.0,29.0,9.0,10.0,2.0,3.0,3.0,2.0,55.0,31.0,23.0,6.0,10.0,3.0,7.0,33.0,1324.0,55.0,934.0,Evans D.,Bublik A.,Adelaide_2020_105554_122330
