url,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,Comment,winner_name,winner_rank,winner_seed,loser_name,loser_rank,loser_seed,Wsets,Lsets,minutes,W1,W2,L1,L2,w_ace,l_ace,w_df,l_df,W3,L3,W4,W5,L4,L5,loser_id,winner_id,match_id,winner_Name,winner_ioc,winner_Date_of_birth,winner_hand,loser_Name,loser_ioc,loser_Date_of_birth,loser_hand,w_1stWon,w_1stIn,l_1stWon,l_1stIn,w_SvGms,l_SvGms,w_2ndWon,l_2ndWon,w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,w_svpt,l_svpt,winner_entry,loser_entry,winner_age,loser_age,tournament_level,AvgW,AvgL,best_of,tournament_name
https://www.livesport.com/en/match/SUCMtVKl/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,13:05,FINISHED,Fils A.,20,,Cazaux A.,64,,2,0,1:33,6,6,4,4,3,7,4,9,,,,,,,209070,209950,'s-Hertogenbosch_2024_209950_209070,Fils Arthur,France,2004-06-12,right,Cazaux Arthur,France,2002-08-23,right,30,38,28,37,10,10,12,14,0,0,2,4,60,72,,,20.0,22.0,ATP250,1.64,2.21,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/8My7n0iA/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,11:10,FINISHED,Mcdonald M.,131,,Van De Zandschulp B.,80,,2,1,2:11,6,4,4,6,2,6,5,8,6,2,,,,,122298,111456,'s-Hertogenbosch_2024_111456_122298,McDonald Mackenzie,USA,1995-04-16,right,Van De Zandschulp Botic,Netherlands,1995-10-04,right,36,57,37,51,14,14,13,12,4,8,11,17,85,92,,WC,29.0,29.0,ATP250,1.96,1.81,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/YuBq2u9O/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,11:05,FINISHED,Brouwer G.,178,,Mensik J.,48,,2,1,1:45,6,3,1,6,6,12,2,8,6,3,,,,,210150,133835,'s-Hertogenbosch_2024_133835_210150,Brouwer Gijs,Netherlands,1996-03-14,left,Mensik Jakub,Czech Republic,2005-09-01,right,42,64,30,39,13,12,15,13,7,9,1,5,90,74,Q,,28.0,19.0,ATP250,1.65,2.19,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/2LvL6TK5/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-11,11:05,FINISHED,Mannarino A.,67,5,Napolitano S.,168,,2,1,2:28,3,"7
7",6,"6
5",7,11,1,1,6,2,,,,,109303,105173,'s-Hertogenbosch_2024_105173_109303,Mannarino Adrian,France,1988-06-29,left,Napolitano Stefano,Italy,1995-04-11,right,42,62,45,66,14,15,21,14,7,10,2,6,107,96,,Q,36.0,29.0,ATP250,1.32,3.3,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/UZpdQ9z8/#/match-summary,'s-Hertogenbosch,NETHERLANDS,GRASS,outdoor,1/16-FINALS,2024-06-10,15:40,FINISHED,Nardi L.,91,,Goffin D.,52,,2,0,2:02,7,7,5,5,1,7,7,2,,,,,,,105676,208134,'s-Hertogenbosch_2024_208134_105676,Nardi Luca,Italy,2003-08-06,right,Goffin David,Belgium,1990-12-07,right,33,53,31,50,12,12,17,12,7,10,3,8,85,79,,WC,21.0,34.0,ATP250,2.7,1.45,3,Rosmalen Grass Court Championships
https://www.livesport.com/en/match/21vkvxmJ/#/match-summary,Halle,GERMANY,GRASS,outdoor,FINAL,2024-06-23,14:10,FINISHED,Sinner J.,1,1,Hurkacz H.,16,5,2,0,1:51,"7
10","7
7","6
8","6
2",10,13,1,0,,,,,,,128034,206173,Halle_2024_206173_128034,Sinner Jannik,Italy,2001-08-16,right,Hurkacz Hubert,Poland,1997-02-11,right,44,47,52,66,12,12,17,9,1,1,3,3,72,89,,,23.0,27.0,ATP500,1.34,3.2,3,Halle Open
https://www.livesport.com/en/match/fFsIWr4b/#/match-summary,Halle,GERMANY,GRASS,outdoor,SEMI-FINALS,2024-06-22,15:10,FINISHED,Sinner J.,1,1,Zhang Zh.,45,,2,0,1:40,6,"7
7",4,"6
3",8,9,1,2,,,,,,,111190,206173,Halle_2024_206173_111190,Sinner Jannik,Italy,2001-08-16,right,Zhang Zhizhen,China,1996-10-16,right,35,43,39,49,11,11,14,8,1,1,0,1,66,73,,,23.0,28.0,ATP500,1.08,7.38,3,Halle Open
https://www.livesport.com/en/match/lzQ1c8oJ/#/match-summary,Halle,GERMANY,GRASS,outdoor,SEMI-FINALS,2024-06-22,13:10,FINISHED,Hurkacz H.,16,5,Zverev A.,2,2,2,0,1:34,"7
7",6,"6
2",4,17,5,2,0,,,,,,,100644,128034,Halle_2024_128034_100644,Hurkacz Hubert,Poland,1997-02-11,right,Zverev Alexander,Germany,1997-04-20,right,43,53,36,42,11,11,10,11,4,4,0,1,71,62,,,27.0,27.0,ATP500,2.28,1.61,3,Halle Open
https://www.livesport.com/en/match/bwHNKc7E/#/match-summary,Halle,GERMANY,GRASS,outdoor,QUARTER-FINALS,2024-06-21,19:45,FINISHED,Zhang Zh.,45,,Eubanks C.,108,,2,1,1:53,6,4,4,6,10,18,2,0,7,5,,,,,111153,111190,Halle_2024_111190_111153,Zhang Zhizhen,China,1996-10-16,right,Eubanks Christopher,USA,1996-05-05,right,43,55,52,68,16,16,18,7,0,2,1,4,84,87,,,28.0,28.0,ATP500,1.8,1.98,3,Halle Open
https://www.livesport.com/en/match/jgPVsDqe/#/match-summary,Halle,GERMANY,GRASS,outdoor,QUARTER-FINALS,2024-06-21,17:00,FINISHED,Sinner J.,1,1,Struff J.L.,43,,2,1,2:33,6,"6
1",2,"7
7",14,18,3,2,"7
7","6
3",,,,,105526,206173,Halle_2024_206173_105526,Sinner Jannik,Italy,2001-08-16,right,Struff Jan-Lennard,Germany,1990-04-25,right,55,64,58,80,16,16,17,24,1,1,16,18,97,125,,,23.0,34.0,ATP500,1.26,3.77,3,Halle Open
