url,tournament_name,tournament_location,tournament_country,Surface,indoor_or_outdoor,Round,Date,time,Comment,winner_name,winner_rank,loser_name,loser_rank,Wsets,Lsets,minutes,W1,W2,W3,W4,W5,L1,L2,L3,L4,L5,w_ace,l_ace,w_df,l_df,winner_Name,winner_ioc,winner_Date_of_birth,winner_hand,winner_id,loser_Name,loser_ioc,loser_Date_of_birth,loser_hand,loser_id,w_1stWon,w_1stIn,l_1stWon,l_1stIn,w_SvGms,l_SvGms,w_2ndWon,l_2ndWon,w_bpSaved,w_bpFaced,l_bpSaved,l_bpFaced,w_svpt,l_svpt,winner_age,loser_age,tournament_level,best_of,winner_entry_LL,winner_entry_Q,winner_entry_WC,loser_entry_LL,loser_entry_Q,loser_entry_WC,winner_is_seeded,loser_is_seeded,tournament_id,match_id
https://www.livesport.com/en/match/OMZ5ZoYN/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,4th Round,2025-01-08,05:30,finished,paul t.,11.0,guinard m.,273.0,2.0,1.0,113.0,6.0,3.0,6.0,,,4.0,6.0,3.0,,,9.0,8.0,4.0,3.0,Paul Tommy,USA,1997-05-17,right,126205,Guinard Manuel,France,1995-11-15,right,131905,43.0,60.0,43.0,58.0,14.0,14.0,18.0,14.0,10.0,11.0,0.0,2.0,93.0,84.0,27.0,29.0,ATP 250,3,False,False,False,False,False,False,1,0,adelaide_2025,adelaide_2025_126205_131905
https://www.livesport.com/en/match/OnJd89ZO/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,4th Round,2025-01-08,01:15,finished,michelsen a.,42.0,sonego l.,55.0,2.0,0.0,119.0,7.0,6.0,,,,6.0,2.0,,,,1.0,6.0,2.0,1.0,Michelsen Alex,USA,2004-08-25,right,210506,Sonego Lorenzo,Italy,1995-05-11,right,132283,39.0,50.0,45.0,71.0,10.0,10.0,11.0,8.0,3.0,3.0,8.0,10.0,70.0,89.0,20.0,29.0,ATP 250,3,False,False,False,False,False,False,1,0,auckland_2025,auckland_2025_210506_132283
https://www.livesport.com/en/match/8jTXDD5m/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,4th Round,2025-01-08,02:20,finished,diaz acosta f.,73.0,baez s.,28.0,2.0,0.0,129.0,6.0,7.0,,,,4.0,6.0,,,,4.0,1.0,5.0,1.0,Diaz Acosta Facundo,Argentina,2000-12-15,left,207680,Baez Sebastian,Argentina,2000-12-28,right,202104,32.0,44.0,31.0,50.0,11.0,11.0,18.0,12.0,4.0,7.0,5.0,9.0,79.0,75.0,24.0,24.0,ATP 250,3,False,False,False,False,False,False,0,1,auckland_2025,auckland_2025_207680_202104
https://www.livesport.com/en/match/pGnvLnJU/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,4th Round,2025-01-08,01:40,finished,giron m.,46.0,shapovalov d.,56.0,2.0,0.0,79.0,7.0,6.0,,,,5.0,2.0,,,,2.0,9.0,0.0,13.0,Giron Marcos,USA,1993-07-24,right,106218,Shapovalov Denis,Canada,1999-04-15,left,133430,19.0,26.0,24.0,31.0,10.0,10.0,16.0,7.0,1.0,3.0,8.0,13.0,50.0,63.0,31.0,25.0,ATP 250,3,False,False,False,False,False,False,0,0,adelaide_2025,adelaide_2025_106218_133430
https://www.livesport.com/en/match/QLlJNQ5c/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,Quarterfinals,2025-01-09,03:25,finished,paul t.,11.0,hijikata r.,72.0,2.0,0.0,79.0,6.0,6.0,,,,3.0,4.0,,,,8.0,4.0,0.0,2.0,Paul Tommy,USA,1997-05-17,right,126205,Hijikata Rinky,Australia,2001-02-23,right,208014,32.0,42.0,23.0,36.0,10.0,9.0,13.0,9.0,4.0,4.0,5.0,7.0,65.0,52.0,27.0,23.0,ATP 250,3,False,False,False,False,False,False,1,0,adelaide_2025,adelaide_2025_126205_208014
https://www.livesport.com/en/match/AeXGIydc/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,Quarterfinals,2025-01-09,09:00,walkover,korda s.,22.0,kokkinakis t.,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Korda Sebastian,USA,2000-07-05,right,200624,Kokkinakis Thanasi,Australia,1996-04-10,right,106423,,,,,,,,,,,,,,,24.0,28.0,ATP 250,3,False,False,False,False,False,False,0,0,adelaide_2025,adelaide_2025_200624_106423
https://www.livesport.com/en/match/n7HKgIWs/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,Quarterfinals,2025-01-09,06:40,finished,borges n.,33.0,mensik j.,48.0,2.0,1.0,147.0,6.0,6.0,7.0,,,7.0,2.0,6.0,,,5.0,17.0,0.0,9.0,Borges Nuno,Portugal,1997-02-19,right,132686,Mensik Jakub,Czech Republic,2005-09-01,right,210150,53.0,75.0,53.0,70.0,16.0,16.0,16.0,20.0,3.0,5.0,4.0,8.0,104.0,118.0,27.0,19.0,ATP 250,3,False,False,False,False,False,False,1,0,auckland_2025,auckland_2025_132686_210150
https://www.livesport.com/en/match/j7WKmKOQ/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,Quarterfinals,2025-01-09,06:45,finished,kecmanovic m.,51.0,bonzi b.,64.0,2.0,0.0,65.0,6.0,6.0,,,,2.0,3.0,,,,12.0,2.0,0.0,1.0,Kecmanovic Miomir,Serbia,1999-08-31,right,200175,Bonzi Benjamin,France,1996-06-09,right,126127,29.0,33.0,19.0,31.0,9.0,8.0,8.0,12.0,1.0,1.0,2.0,5.0,48.0,54.0,25.0,28.0,ATP 250,3,False,False,False,False,False,False,0,0,adelaide_2025,adelaide_2025_200175_126127
https://www.livesport.com/en/match/pWj3stoe/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,Quarterfinals,2025-01-09,04:50,finished,auger-aliassime f.,23.0,giron m.,46.0,2.0,0.0,101.0,7.0,6.0,,,,6.0,3.0,,,,11.0,2.0,3.0,1.0,Auger Aliassime Felix,Canada,2000-08-08,right,200000,Giron Marcos,USA,1993-07-24,right,106218,43.0,54.0,24.0,37.0,10.0,11.0,10.0,20.0,9.0,9.0,6.0,8.0,76.0,72.0,24.0,31.0,ATP 250,3,False,False,False,False,False,False,1,0,adelaide_2025,adelaide_2025_200000_106218
https://www.livesport.com/en/match/Cr8zrkh5/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,Quarterfinals,2025-01-09,01:40,finished,monfils g.,41.0,diaz acosta f.,73.0,2.0,0.0,78.0,6.0,6.0,,,,3.0,1.0,,,,4.0,0.0,1.0,1.0,Monfils Gael,France,1986-09-01,right,104792,Diaz Acosta Facundo,Argentina,2000-12-15,left,207680,28.0,33.0,25.0,40.0,8.0,8.0,7.0,7.0,3.0,3.0,3.0,7.0,52.0,60.0,38.0,24.0,ATP 250,3,False,False,False,False,False,False,0,0,auckland_2025,auckland_2025_104792_207680
https://www.livesport.com/en/match/Kl5ofJU0/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,Quarterfinals,2025-01-09,03:20,finished,bergs z.,60.0,carballes baena r.,57.0,2.0,1.0,113.0,1.0,6.0,6.0,,,6.0,2.0,3.0,,,2.0,2.0,2.0,4.0,Bergs Zizou,Belgium,1999-06-03,right,200267,Carballes Baena Roberto,Spain,1993-03-23,right,106148,26.0,37.0,32.0,45.0,12.0,12.0,13.0,8.0,1.0,5.0,6.0,11.0,65.0,74.0,25.0,31.0,ATP 250,3,False,False,False,False,False,False,0,0,auckland_2025,auckland_2025_200267_106148
https://www.livesport.com/en/match/KftFfRyJ/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,Semifinals,2025-01-10,01:10,finished,monfils g.,41.0,basavareddy n.,107.0,2.0,0.0,108.0,7.0,6.0,,,,6.0,4.0,,,,7.0,3.0,2.0,0.0,Monfils Gael,France,1986-09-01,right,104792,Basavareddy Nishesh,USA,2005-05-02,right,889354,36.0,48.0,27.0,38.0,11.0,11.0,22.0,17.0,5.0,5.0,1.0,2.0,88.0,59.0,38.0,19.0,ATP 250,3,False,False,False,False,False,False,0,0,auckland_2025,auckland_2025_104792_889354
https://www.livesport.com/en/match/vcrj2gwf/#/match-summary,AUCKLAND,auckland,NEW ZEALAND,HARD,outdoor,Semifinals,2025-01-10,03:15,finished,bergs z.,60.0,borges n.,33.0,2.0,1.0,136.0,6.0,3.0,7.0,,,2.0,6.0,5.0,,,6.0,0.0,1.0,2.0,Bergs Zizou,Belgium,1999-06-03,right,200267,Borges Nuno,Portugal,1997-02-19,right,132686,31.0,48.0,34.0,58.0,14.0,15.0,20.0,19.0,3.0,7.0,7.0,13.0,87.0,94.0,25.0,27.0,ATP 250,3,False,False,False,False,False,False,0,1,auckland_2025,auckland_2025_200267_132686
https://www.livesport.com/en/match/dKyjSRvQ/#/match-summary,ADELAIDE,adelaide,AUSTRALIA,HARD,outdoor,Semifinals,2025-01-10,12:30,finished,korda s.,22.0,kecmanovic m.,51.0,2.0,0.0,80.0,6.0,7.0,,,,3.0,6.0,,,,13.0,2.0,3.0,2.0,Korda Sebastian,USA,2000-07-05,right,200624,Kecmanovic Miomir,Serbia,1999-08-31,right,200175,37.0,44.0,34.0,46.0,11.0,10.0,14.0,9.0,0.0,0.0,0.0,1.0,68.0,61.0,24.0,25.0,ATP 250,3,False,False,False,False,False,False,1,0,adelaide_2025,adelaide_2025_200624_200175
