tournament_id,tournament_name,tournament_location,tournament_level,draw_size,Surface,indoor_or_outdoor
Queens Club_2024,Queen's Club Championships,Queens Club,ATP500,,grass,outdoor
Mallorca_2024,Mallorca Championships,Mallorca,ATP250,,grass,outdoor
Eastbourne_2024,Eastbourne International,Eastbourne,ATP250,,grass,outdoor
London_2024,Wimbledon,London,Grand Slam,,grass,outdoor
Hamburg_2024,European Open,Hamburg,ATP250,,clay,outdoor
Gstaad_2024,Suisse Open Gstaad,Gstaad,ATP250,,clay,outdoor
Newport_2024,Hall of Fame Championships,Newport,ATP250,,grass,outdoor
Bastad_2024,Nordea Open,Bastad,ATP250,,clay,outdoor
Umag_2024,Croatia Open,Umag,ATP250,,clay,outdoor
Kitzbuhel_2024,Generali Open,Kitzbuhel,ATP250,,clay,outdoor
Atlanta_2024,Atlanta Open,Atlanta,ATP250,,hard,outdoor
Washington_2024,Citi Open,Washington,ATP500,,hard,outdoor
Montreal_2024,Canadian Open,Montreal,Masters 1000,,hard,outdoor
Cincinnati_2024,Western & Southern Financial Group Masters,Cincinnati,Masters 1000,,hard,outdoor
Winston-Salem_2024,Winston-Salem Open at Wake Forest University,Winston-Salem,ATP250,,hard,outdoor
New York_2024,US Open,New York,Grand Slam,,hard,outdoor
Hangzhou_2024,Hangzhou Open,Hangzhou,ATP250,,hard,outdoor
Chengdu_2024,Chengdu Open,Chengdu,ATP250,,hard,outdoor
Tokyo_2024,Japan Open Tennis Championships,Tokyo,ATP500,,hard,outdoor
Beijing_2024,China Open,Beijing,ATP500,,hard,outdoor
Shanghai_2024,Shanghai Masters,Shanghai,Masters 1000,,hard,outdoor
Antwerp_2024,European Open,Antwerp,ATP250,,hard,INDOOR
Stockholm_2024,Nordic Open,Stockholm,ATP250,,hard,INDOOR
Almaty_2024,Almaty Open,Almaty,ATP250,,hard,INDOOR
Basel_2024,Swiss Indoors,Basel,ATP500,,hard,INDOOR
Vienna_2024,Vienna Open,Vienna,ATP500,,hard,INDOOR
Paris 2_2024,BNP Paribas Masters,Paris 2,Masters 1000,,hard,INDOOR
Belgrade 2_2024,Belgrade Open,Belgrade 2,ATP250,,hard,INDOOR
Metz_2024,Open de Moselle,Metz,ATP250,,hard,INDOOR
brisbane_2025,BRISBANE,brisbane,ATP 250,,hard,outdoor
hong kong_2025,HONG KONG,hong kong,ATP 250,,hard,outdoor
auckland_2025,AUCKLAND,auckland,ATP 250,,hard,outdoor
adelaide_2025,ADELAIDE,adelaide,ATP 250,,hard,outdoor
melbourne_2025,AUSTRALIAN OPEN,melbourne,Grand Slam,,hard,outdoor
