tournament_id,tournament_name,tournament_location,tournament_level,draw_size,Surface,indoor_or_outdoor
2018-5014,Shanghai Masters,Shanghai,M,64.0,hard,Outdoor
2018-7485,European Open,Antwerp,A,32.0,hard,Indoor
2018-0429,Stockholm Open,Stockholm,A,32.0,hard,Indoor
2018-M014,Kremlin Cup,Moscow,A,32.0,hard,Indoor
2018-0328,Swiss Indoors,Basel,A,32.0,hard,Indoor
2018-0337,Erste Bank Open,Vienna,A,32.0,hard,Indoor
2018-0352,BNP Paribas Masters,Paris 2,M,64.0,hard,Indoor
2019-M020,Brisbane International,Brisbane,A,32.0,hard,Outdoor
2019-0891,Maharashtra Open,Pune,A,32.0,hard,Outdoor
2019-0451,Qatar Exxon Mobil Open,Doha,A,32.0,hard,Outdoor
2019-0301,ASB Classic,Auckland,A,32.0,hard,Outdoor
2019-M001,Sydney International,Sydney,A,32.0,hard,Outdoor
2019-580,Australian Open,Melbourne,G,128.0,hard,Outdoor
2019-0375,Open Sud de France,Montpellier,A,32.0,hard,Indoor
2019-7434,Sofia Open,Sofia,A,32.0,hard,Indoor
2019-9158,Cordoba Open,Cordoba,A,32.0,clay,Outdoor
2019-0506,Argentina Open,Buenos Aires,A,32.0,clay,Outdoor
2019-0424,New York Open,New York,A,32.0,hard,Indoor
2019-0407,ABN AMRO World Tennis Tournament,Rotterdam,A,32.0,hard,Indoor
2019-0496,Open 13,Marseille,A,32.0,hard,Indoor
2019-0499,Delray Beach Open,Delray Beach,A,32.0,hard,Outdoor
2019-6932,Rio Open,Rio de Janeiro,A,32.0,clay,Outdoor
2019-0533,Brasil Open,Sao Paulo,A,32.0,clay,Indoor
2019-0495,Dubai Tennis Championships,Dubai,A,32.0,hard,Outdoor
2019-M004,Abierto Mexicano,Acapulco,A,32.0,hard,Outdoor
2019-M006,BNP Paribas Open,Indian Wells,M,128.0,hard,Outdoor
2019-M007,Sony Ericsson Open,Miami,M,128.0,hard,Outdoor
2019-0360,Grand Prix Hassan II,Marrakech,A,32.0,clay,Outdoor
2019-0717,U.S. Men's Clay Court Championships,Houston,A,32.0,clay,Outdoor
2019-0410,Monte Carlo Masters,Monte Carlo,M,64.0,clay,Outdoor
2019-0425,Open Banco Sabadell ,Barcelona,A,64.0,clay,Outdoor
2019-7648,Hungarian Open,Budapest,A,32.0,clay,Outdoor
2019-7290,Millennium Estoril Open,Estoril,A,32.0,clay,Outdoor
2019-0308,BMW Open,Munich,A,32.0,clay,Outdoor
2019-M021,Mutua Madrid Open,Madrid,M,64.0,clay,Outdoor
2019-M009,Internazionali BNL d'Italia,Rome,M,64.0,clay,Outdoor
2019-7694,Lyon Open,Lyon,A,32.0,clay,Outdoor
2019-0322,Geneva Open,Geneva,A,32.0,clay,Outdoor
2019-520,French Open,Paris,G,128.0,clay,Outdoor
2019-0321,Mercedes Cup,Stuttgart,A,32.0,grass,Outdoor
2019-M010,Rosmalen Grass Court Championships,'s-Hertogenbosch,A,32.0,grass,Outdoor
2019-0311,Queen's Club Championships,Queens Club,A,32.0,grass,Outdoor
2019-0500,Halle Open,Halle,A,32.0,grass,Outdoor
2019-7650,Antalya Open,Antalya,A,32.0,grass,Outdoor
2019-M016,Eastbourne International,Eastbourne,A,32.0,grass,Outdoor
2019-540,Wimbledon,London,G,128.0,grass,Outdoor
2019-0316,SkiStar Swedish Open,Bastad,A,32.0,clay,Outdoor
2019-0315,Hall of Fame Championships,Newport,A,32.0,grass,Outdoor
2019-0439,Croatia Open,Umag,A,32.0,clay,Outdoor
2019-0414,German Tennis Championships,Hamburg,A,32.0,clay,Outdoor
2019-6116,BB&T Atlanta Open,Atlanta,A,32.0,hard,Outdoor
2019-0314,Suisse Open Gstaad,Gstaad,A,32.0,clay,Outdoor
2019-M035,Citi Open,Washington,A,64.0,hard,Outdoor
2019-0319,Generali Open,Kitzbuhel,A,32.0,clay,Outdoor
2019-7480,Abierto Mexicano Mifel,Los Cabos,A,32.0,hard,Outdoor
2019-0421,Rogers Masters,Montreal,M,64.0,hard,Outdoor
2019-M024,Western & Southern Financial Group Masters,Cincinnati,M,64.0,hard,Outdoor
2019-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,A,64.0,hard,Outdoor
2019-560,US Open,New York,G,128.0,hard,Outdoor
2019-0341,Open de Moselle,Metz,A,32.0,hard,Indoor
2019-0568,St. Petersburg Open,St. Petersburg,A,32.0,hard,Indoor
2019-7581,Chengdu Open,Chengdu,A,32.0,hard,Outdoor
2019-9164,Zhuhai Open,Zhuhai,A,32.0,hard,Outdoor
2019-0329,Rakuten Japan Open Tennis Championships,Tokyo,A,32.0,hard,Outdoor
2019-M015,China Open,Beijing,A,32.0,hard,Outdoor
2019-5014,Shanghai Masters,Shanghai,M,64.0,hard,Outdoor
2019-7485,European Open,Antwerp,A,32.0,hard,Indoor
2019-0429,Stockholm Open,Stockholm,A,32.0,hard,Indoor
2019-M014,Kremlin Cup,Moscow,A,32.0,hard,Indoor
2019-0337,Erste Bank Open,Vienna,A,32.0,hard,Indoor
2019-0328,Swiss Indoors,Basel,A,32.0,hard,Indoor
2019-0352,BNP Paribas Masters,Paris 2,M,64.0,hard,Indoor
2020-0451,Qatar Exxon Mobil Open,Doha,A,32.0,hard,Outdoor
2020-M056,Adelaide International,Adelaide,A,32.0,hard,Outdoor
2020-0301,ASB Classic,Auckland,A,32.0,hard,Outdoor
2020-580,Australian Open,Melbourne,G,128.0,hard,Outdoor
2020-9158,Cordoba Open,Cordoba,A,32.0,clay,Outdoor
2020-0891,Maharashtra Open,Pune,A,32.0,hard,Outdoor
2020-0375,Open Sud de France,Montpellier,A,32.0,hard,Indoor
2020-0506,Argentina Open,Buenos Aires,A,32.0,clay,Outdoor
2020-0424,New York Open,New York,A,32.0,hard,Indoor
2020-0407,ABN AMRO World Tennis Tournament,Rotterdam,A,32.0,hard,Indoor
2020-0499,Delray Beach Open,Delray Beach,A,32.0,hard,Outdoor
2020-6932,Rio Open,Rio de Janeiro,A,32.0,clay,Outdoor
2020-0496,Open 13,Marseille,A,32.0,hard,Indoor
2020-0495,Dubai Tennis Championships,Dubai,A,32.0,hard,Outdoor
2020-M004,Abierto Mexicano,Acapulco,A,32.0,hard,Outdoor
2020-8996,Chile Open,Santiago,A,32.0,clay,Indoor
2020-M024,Western & Southern Financial Group Masters,Cincinnati,M,64.0,hard,Outdoor
2020-560,US Open,New York,G,128.0,hard,Outdoor
2020-0319,Generali Open,Kitzbuhel,A,32.0,clay,Outdoor
2020-M009,Internazionali BNL d'Italia,Rome,M,64.0,clay,Outdoor
2020-0414,German Tennis Championships,Hamburg,A,32.0,clay,Outdoor
2020-520,French Open,Paris,G,128.0,clay,Outdoor
2020-9404,bett1HULKS Indoors,Cologne 1,A,32.0,hard,Indoor
2020-0568,St. Petersburg Open,St. Petersburg,A,32.0,hard,Indoor
2020-9408,Forte Village Sardegna Open,Sardinia,A,32.0,clay,Outdoor
2020-9406,bett1HULKS Championship,Cologne 2,A,32.0,hard,Indoor
2020-7485,European Open,Antwerp,A,32.0,hard,Indoor
2020-0337,Erste Bank Open,Vienna,A,32.0,hard,Indoor
2020-9410,Astana Open,Nur-Sultan,A,32.0,hard,Indoor
2020-0352,BNP Paribas Masters,Paris 2,M,64.0,hard,Indoor
2020-7434,Sofia Open,Sofia,A,32.0,hard,Indoor
2021-9426,Antalya Open,Antalya,A,32.0,hard,Indoor
