player_id,name,rank,age,hand
105223,Juan Martin del Potro,12.0,29.2,R
103893,Paolo Lorenzi,45.0,36.0,R
106000,Damir Dzumhur,30.0,25.6,R
105575,Ricardas Berankis,138.0,27.5,R
106421,Daniil Medvedev,84.0,21.9,R
105173,Adrian Mannarino,28.0,29.5,L
104919,Leonardo Mayer,52.0,30.6,R
104926,Fabio Fognini,27.0,30.6,R
104180,Gilles Muller,25.0,34.6,L
105807,Pablo Carreno Busta,11.0,26.5,R
104312,Andreas Seppi,76.0,33.9,R
106415,Yoshihito Nishioka,168.0,22.3,L
104678,Viktor Troicki,65.0,31.9,R
106043,Diego Schwartzman,26.0,25.4,R
103333,Ivo Karlovic,89.0,38.8,R
111456,Mackenzie Mcdonald,186.0,22.7,R
105216,Yuichi Sugita,41.0,29.3,R
104571,Marcos Baghdatis,123.0,32.5,R
134770,Casper Ruud,138.0,19.0,R
105074,Ruben Bemelmans,117.0,30.0,L
104745,Rafael Nadal,1.0,31.6,L
104291,Malek Jaziri,100.0,33.9,R
104542,Jo-Wilfried Tsonga,15.0,32.7,R
103898,Julien Benneteau,59.0,36.0,R
106044,Nicolas Kicker,93.0,25.4,R
109739,Maximilian Marterer,94.0,22.5,L
132283,Lorenzo Sonego,219.0,22.6,R
105023,Sam Querrey,13.0,30.2,R
100644,Alexander Zverev,4.0,20.7,R
105676,David Goffin,7.0,27.1,R
104527,Stan Wawrinka,8.0,32.8,R
105077,Albert Ramos,22.0,29.9,L
105539,Evgeny Donskoy,72.0,27.6,R
106045,Denis Kudla,190.0,25.4,R
104925,Novak Djokovic,14.0,30.6,R
105815,Tennys Sandgren,97.0,26.4,R
105065,Tim Smyczek,131.0,30.0,R
104198,Guillermo Garcia Lopez,71.0,34.6,R
104607,Tomas Berdych,20.0,32.3,R
103819,Roger Federer,2.0,36.4,R
126535,Carlos Taberner,190.0,20.4,R
104871,Jeremy Chardy,91.0,30.9,R
103917,Nicolas Mahut,105.0,36.0,R
106298,Lucas Pouille,17.0,23.9,R
144895,Corentin Moutet,152.0,18.8,L
105413,Andrej Martin,156.0,28.3,R
103607,Victor Estrella,86.0,37.5,R
106148,Roberto Carballes Baena,107.0,24.8,R
105561,Alessandro Giannessi,159.0,27.6,L
105589,Gerald Melzer,98.0,27.5,L
105933,Roberto Quiroz,282.0,25.9,L
106075,Jozef Kovalik,187.0,25.2,R
105373,Martin Klizan,147.0,28.5,L
104882,Blaz Kavcic,111.0,30.9,R
105657,Marius Copil,93.0,27.3,R
105583,Dusan Lajovic,88.0,27.6,R
105643,Federico Delbonis,70.0,27.3,L
105064,Thomaz Bellucci,137.0,30.1,L
105671,Gastao Elias,114.0,27.2,R
104534,Dudi Sela,100.0,32.8,R
126207,Frances Tiafoe,98.0,20.0,R
104629,Adrian Menendez Maceiras,128.0,32.2,R
105430,Radu Albot,91.0,28.2,R
105453,Kei Nishikori,27.0,28.1,R
104022,Mikhail Youzhny,94.0,35.6,R
124014,Ernesto Escobedo,131.0,21.6,R
104259,Philipp Kohlschreiber,36.0,34.3,R
134868,Tallon Griekspoor,259.0,21.6,R
105936,Filip Krajinovic,38.0,25.9,R
105385,Donald Young,75.0,28.5,L
106058,Jack Sock,8.0,25.4,R
104545,John Isner,18.0,32.8,R
124187,Reilly Opelka,228.0,20.4,R
105015,Franko Skugor,303.0,30.4,R
105683,Milos Raonic,32.0,27.1,R
126203,Taylor Fritz,85.0,20.3,R
105341,Thomas Fabbiano,81.0,28.7,R
104665,Pablo Andujar,1821.0,32.0,R
106423,Thanasi Kokkinakis,199.0,21.8,R
106249,Joao Domingues,194.0,24.3,R
104122,Carlos Berlocq,131.0,35.0,R
124116,Sebastian Ofner,143.0,21.7,R
104297,Rogerio Dutra Silva,106.0,34.0,R
106105,Guilherme Clezar,225.0,25.1,R
105166,Peter Polansky,134.0,29.7,R
106283,Mitchell Krueger,231.0,24.1,R
