tournament_id,tournament_name,tournament_location,tournament_date,tournament_level,draw_size,Surface,indoor_or_outdoor
2019-0316,SkiStar Swedish Open,Bastad,2019-07-15,A,32,Clay,Outdoor
2019-0315,Hall of Fame Championships,Newport,2019-07-15,A,32,Grass,Outdoor
2019-0439,Croatia Open,Umag,2019-07-15,A,32,Clay,Outdoor
2019-6116,BB&T Atlanta Open,Atlanta,2019-07-22,A,32,Hard,Outdoor
2019-0314,Suisse Open Gstaad,Gstaad,2019-07-22,A,32,Clay,Outdoor
2019-0414,German Tennis Championships,Hamburg,2019-07-22,A,32,Clay,Outdoor
2019-0319,Generali Open,Kitzbuhel,2019-07-29,A,32,Clay,Outdoor
2019-7480,Abierto Mexicano Mifel,Los Cabos,2019-07-29,A,32,Hard,Outdoor
2019-M035,Citi Open,Washington,2019-07-29,A,64,Hard,Outdoor
2019-0421,Rogers Masters,Montreal,2019-08-05,M,64,Hard,Outdoor
2019-M024,Western & Southern Financial Group Masters,Cincinnati,2019-08-12,M,64,Hard,Outdoor
2019-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,2019-08-19,A,64,Hard,Outdoor
2019-560,US Open,New York,2019-08-26,G,128,Hard,Outdoor
2019-0341,Open de Moselle,Metz,2019-09-16,A,32,Hard,Indoor
2019-0568,St. Petersburg Open,St. Petersburg,2019-09-16,A,32,Hard,Indoor
2019-7581,Chengdu Open,Chengdu,2019-09-23,A,32,Hard,Outdoor
2019-9164,Zhuhai Open,Zhuhai,2019-09-23,A,32,Hard,Outdoor
2019-M015,China Open,Beijing,2019-09-30,A,32,Hard,Outdoor
2019-0329,Rakuten Japan Open Tennis Championships,Tokyo,2019-09-30,A,32,Hard,Outdoor
2019-5014,Shanghai Masters,Shanghai,2019-10-07,M,64,Hard,Outdoor
2019-7485,European Open,Antwerp,2019-10-14,A,32,Hard,Indoor
2019-M014,Kremlin Cup,Moscow,2019-10-14,A,32,Hard,Indoor
2019-0429,Stockholm Open,Stockholm,2019-10-14,A,32,Hard,Indoor
2019-0328,Swiss Indoors,Basel,2019-10-21,A,32,Hard,Indoor
2019-0337,Erste Bank Open,Vienna,2019-10-21,A,32,Hard,Indoor
2019-0352,BNP Paribas Masters,Paris 2,2019-10-28,M,64,Hard,Indoor
2020-0451,Qatar Exxon Mobil Open,Doha,2020-01-06,A,32,Hard,Outdoor
