tournament_id,tournament_name,tournament_location,tournament_date,tournament_level,draw_size,Surface,indoor_or_outdoor
2023-7480,Los Cabos Open,Los Cabos,2023-07-31,A,32,Hard,Outdoor
2023-0418,Citi Open,Washington,2023-07-31,A,64,Hard,Outdoor
2023-0421,Canadian Open,Toronto,2023-08-07,M,64,Hard,Outdoor
2023-0422,Western & Southern Financial Group Masters,Cincinnati,2023-08-14,M,64,Hard,Outdoor
2023-6242,Winston-Salem Open at Wake Forest University,Winston-Salem,2023-08-21,A,64,Hard,Outdoor
2023-560,US Open,New York,2023-08-28,G,128,Hard,Outdoor
2023-7581,Chengdu Open,Chengdu,2023-09-20,A,32,Hard,Outdoor
2023-9164,Zhuhai Championships,Zhuhai,2023-09-20,A,32,Hard,Outdoor
2023-0747,China Open,Beijing,2023-09-27,A,32,Hard,Outdoor
2023-9410,Astana Open,Nur-Sultan,2023-09-25,A,32,Hard,Indoor
2023-5014,Shanghai Masters,Shanghai,2023-10-02,M,128,Hard,Outdoor
2023-7485,European Open,Antwerp,2023-10-16,A,32,Hard,Indoor
2023-0429,Nordic Open,Stockholm,2023-10-16,A,32,Hard,Indoor
2023-0329,Japan Open Tennis Championships,Tokyo,2023-10-16,A,32,Hard,Outdoor
2023-0328,Swiss Indoors,Basel,2023-10-23,A,32,Hard,Indoor
2023-0337,Vienna Open,Vienna,2023-10-23,A,32,Hard,Indoor
2023-0352,BNP Paribas Masters,Paris 2,2023-10-30,M,64,Hard,Indoor
2023-0341,Open de Moselle,Metz,2023-11-06,A,32,Hard,Indoor
2023-7434,Sofia Open,Sofia,2023-11-06,A,32,Hard,Indoor
